,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,1.0,0.94,0.46,0.17,0.31,0.4,0.5,0.18,0.42,0.29
aime.csv,1.0,0.84,0.4,0.22,1.0,0.64,0.25,0.1,0.39,0.08
badtrinitycore.csv,0.71,0.0,0.57,1.0,0.29,0.78,0.22,0.1,0.22,0.2
electric-core.csv,0.5,0.78,1.0,0.12,0.15,0.37,0.24,0.13,0.4,0.22
geochat.csv,0.59,0.75,0.2,0.03,0.18,0.56,0.38,0.12,0.45,1.0
mumble.csv,0.78,0.9,0.25,0.13,0.14,0.5,1.0,0.15,0.5,0.29
olsrd.csv,0.63,1.0,0.24,0.14,0.24,0.47,0.37,0.15,0.37,0.31
silvertree.csv,0.52,0.76,0.45,0.16,0.2,1.0,0.41,0.05,0.33,0.25
skia.csv,0.7,0.87,0.28,0.2,0.17,0.43,0.45,0.14,1.0,0.18
t-2.csv,0.33,0.63,0.17,0.09,0.08,0.1,0.17,1.0,0.23,0.24
