,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.0,1.0,9.0,37.0,2.0,0.0,7.0,54.0,4.0,1.0
aime.csv,0.0,0.0,6.0,9.0,0.0,0.0,6.0,88.0,1.0,11.0
badtrinitycore.csv,0.0,87.0,10.0,0.0,2.0,0.0,7.0,86.0,2.0,6.0
electric-core.csv,11.0,0.0,0.0,9.0,12.0,4.0,18.0,25.0,5.0,16.0
geochat.csv,3.0,0.0,31.0,61.0,5.0,2.0,3.0,4.0,1.0,0.0
mumble.csv,0.0,0.0,2.0,2.0,4.0,0.0,0.0,16.0,0.0,1.0
olsrd.csv,3.0,0.0,8.0,21.0,0.0,0.0,0.0,52.0,7.0,2.0
silvertree.csv,5.0,5.0,19.0,12.0,1.0,0.0,4.0,55.0,3.0,10.0
skia.csv,2.0,2.0,6.0,47.0,3.0,3.0,2.0,8.0,0.0,3.0
t-2.csv,4.0,0.0,7.0,8.0,12.0,7.0,22.0,0.0,4.0,15.0
