,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,0.66,0.67,0.73,0.55,0.12,0.5,0.13,0.68,0.96,0.83,0.54,0.08,0.23,0.2,0.35,0.25,0.71,0.44
bscwweasel.csv,0.0,0.0,1.0,0.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.2,0.3,0.0,0.17,1.0,0.33
capcode.csv,0.39,0.5,0.52,0.42,0.2,0.33,1.0,0.59,0.87,0.62,0.6,0.07,0.14,0.25,0.42,0.2,0.7,0.4
dspace-gsoc.csv,0.67,0.71,0.56,0.65,0.22,0.24,0.14,0.8,0.55,0.75,1.0,0.07,0.39,0.16,0.43,0.35,0.55,0.36
emite.csv,0.66,0.8,0.63,0.39,0.1,0.16,0.11,0.75,0.78,0.86,0.54,0.09,0.16,0.16,1.0,0.2,0.55,0.36
fbmanager.csv,0.57,0.36,0.68,1.0,0.18,0.36,0.15,0.7,0.73,0.77,0.61,0.05,0.41,0.18,0.5,0.36,0.6,0.4
freenet.csv,0.46,0.51,0.6,0.61,0.14,0.35,0.14,0.99,0.65,0.81,0.62,0.07,0.29,0.2,0.52,0.29,0.68,0.34
geogebra.csv,0.7,0.6,0.71,0.72,0.11,0.3,0.11,0.65,0.8,0.83,0.75,0.04,0.6,0.32,0.38,0.98,0.8,0.3
megameknet.csv,0.44,0.83,0.61,0.83,0.24,0.32,0.16,0.78,0.7,0.87,0.55,0.07,0.97,0.15,0.33,0.3,0.89,0.42
ondex.csv,0.47,0.11,0.67,0.31,0.11,0.12,0.11,0.57,0.71,0.82,0.67,0.04,0.57,1.0,0.39,0.23,1.0,0.27
onotoa.csv,0.53,0.28,0.65,0.54,0.1,0.32,0.14,0.67,0.75,1.0,0.63,0.03,0.2,0.25,0.45,0.19,0.76,0.28
paintown.csv,1.0,0.72,0.68,0.61,0.15,0.41,0.15,0.74,0.69,0.82,0.75,0.03,0.33,0.17,0.55,0.35,0.72,0.43
powerfolder.csv,1.0,0.6,0.0,0.0,1.0,0.88,0.5,0.5,0.0,1.0,0.4,1.0,0.58,0.33,0.0,0.56,1.0,0.33
retromenu.csv,0.8,1.0,0.86,0.82,0.33,1.0,0.14,0.81,0.86,0.57,0.67,0.17,0.68,0.22,1.0,0.51,1.0,0.78
smbopensoft.csv,0.59,0.99,0.67,0.5,0.13,0.46,0.16,0.69,0.75,0.71,0.74,0.05,0.31,0.16,0.33,0.35,0.65,0.31
triplea.csv,0.62,0.52,1.0,0.69,0.16,0.36,0.13,0.69,0.76,0.82,0.67,0.07,0.39,0.17,0.46,0.32,0.65,0.38
tweetsharp.csv,0.51,0.48,0.58,0.48,0.15,0.43,0.12,0.65,0.72,0.74,0.61,0.05,0.25,0.17,0.42,0.22,0.95,0.3
xamj.csv,0.5,0.56,0.68,0.45,0.12,0.41,0.13,0.65,0.76,0.86,0.68,0.05,0.23,0.2,0.55,0.22,0.69,0.99
