,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,41.0,0.0,34.0,0.0,54.0,0.0,17.0,11.0,31.0,8.0,0.0,1.0,27.0,26.0,5.0,0.0
fleet-simulator.csv,55.0,1.0,36.0,0.0,3.0,0.0,14.0,2.0,69.0,2.0,1.0,0.0,7.0,5.0,0.0,0.0
geogebra.csv,1.0,0.0,58.0,0.0,3.0,0.0,10.0,0.0,94.0,3.0,3.0,2.0,13.0,0.0,6.0,0.0
gtad.csv,0.0,63.0,44.0,0.0,0.0,1.0,2.0,0.0,16.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0
hibernate.csv,26.0,0.0,22.0,0.0,10.0,2.0,13.0,4.0,49.0,4.0,0.0,0.0,0.0,6.0,3.0,0.0
ipfire-wall.csv,7.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,16.0,2.0,2.0,0.0,7.0,8.0,10.0,1.0
irplus.csv,15.0,1.0,1.0,0.0,5.0,1.0,19.0,0.0,125.0,2.0,1.0,0.0,17.0,8.0,2.0,1.0
mumble.csv,8.0,3.0,18.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,10.0,0.0,9.0,0.0
ondex.csv,72.0,63.0,61.0,0.0,1.0,0.0,10.0,0.0,74.0,11.0,0.0,0.0,11.0,1.0,4.0,56.0
powerfolder.csv,72.0,63.0,61.0,95.0,54.0,0.0,89.0,68.0,0.0,0.0,195.0,61.0,0.0,0.0,118.0,56.0
projectts.csv,31.0,0.0,49.0,0.0,5.0,0.0,19.0,4.0,92.0,19.0,2.0,1.0,12.0,6.0,9.0,0.0
quantlib.csv,10.0,1.0,61.0,0.0,3.0,0.0,5.0,0.0,78.0,0.0,1.0,2.0,13.0,13.0,0.0,0.0
smartgwt.csv,48.0,1.0,61.0,0.0,4.0,0.0,22.0,0.0,31.0,0.0,2.0,2.0,13.0,9.0,5.0,0.0
tweetsharp.csv,33.0,1.0,61.0,1.0,8.0,0.0,21.0,0.0,61.0,2.0,1.0,7.0,2.0,4.0,3.0,0.0
wxlua.csv,48.0,2.0,61.0,0.0,4.0,0.0,14.0,0.0,90.0,2.0,0.0,0.0,30.0,1.0,2.0,0.0
