,id,count_recall,count_precision,count_pf,cdom_score,bellwether
54,2,1,2,2,1,mclient-mume.csv
50,3,4,1,5,6,chrysalis.csv
48,4,2,5,14,16,icescrum.csv
56,5,6,4,5,9,springside.csv
22,6,1,11,18,17,dsworkbench.csv
17,7,4,4,13,15,sblim.csv
27,8,3,3,6,10,synecdoche.csv
25,10,1,0,1,0,atunes.csv
16,11,1,0,1,2,columba.csv
55,13,0,2,2,2,amanda.csv
57,14,8,6,9,15,bibedt.csv
49,15,5,4,11,13,openmeetings.csv
19,16,0,4,8,7,jfreereport.csv
24,17,1,0,1,1,voms.csv
14,18,2,1,1,2,lmms.csv
26,19,2,5,7,7,ng4j.csv
13,20,4,5,10,13,wow-qrsk.csv
28,21,2,5,5,7,phonon-vlc-mplayer.csv
58,22,5,5,7,10,aztec.csv
15,27,2,2,4,6,jaql.csv
23,28,3,3,9,14,nodal.csv
18,29,7,5,7,15,jython.csv
38,30,2,14,18,17,fbmanager.csv
33,31,3,3,3,4,bzbyte.csv
12,33,1,6,10,9,quark.csv
11,34,0,1,6,6,bloodycore.csv
6,35,1,2,3,3,zorannt.csv
32,36,6,6,8,15,qcad2.csv
39,37,1,11,18,17,reaper-ecad.csv
31,38,2,3,5,6,sepgsql.csv
40,39,6,6,8,15,zildo.csv
52,40,1,3,8,6,rtb-team.csv
46,41,8,4,8,14,applet2app.csv
20,42,2,2,5,5,adaptagrams.csv
30,43,4,7,7,12,ftm.csv
29,44,1,16,20,19,genoviz.csv
21,45,1,2,4,3,tolven.csv
45,46,2,1,4,4,rezilla.csv
53,47,6,7,15,19,sigil.csv
47,48,0,3,9,8,mptvseries.csv
51,49,4,5,6,6,riff-evolve.csv
3,50,3,6,10,11,jstock.csv
41,52,1,3,11,10,mvdsv.csv
37,53,1,3,11,15,jcl.csv
36,54,2,2,2,2,graphmak.csv
42,55,3,3,15,17,gtad.csv
7,56,4,2,2,8,optalgtoolkit.csv
5,57,1,6,15,17,tokratan.csv
8,58,1,7,15,14,ibatisdb.csv
1,59,2,2,1,1,jmol.csv
10,60,5,4,8,13,maidsafe-dht.csv
0,61,3,5,3,9,irplus.csv
35,62,2,2,3,5,codeblocks.csv
43,63,7,8,11,17,elvishrayrenderer.csv
44,64,3,3,11,11,adobe-source.csv
34,65,4,3,6,9,theresa.csv
2,66,1,1,4,8,rockbox.csv
9,67,1,0,1,0,jrdf.csv
4,68,1,6,5,9,rodin-b-sharp.csv
