,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv
botsnscouts.csv,0.33,0.32,0.33,0.44,0.39
freenet.csv,0.46,0.41,0.47,0.32,0.39
mediaportal.csv,0.6,0.81,0.81,0.67,0.56
onotoa.csv,0.44,0.61,0.43,0.46,0.66
sqlpower-library.csv,0.39,0.36,0.39,0.31,0.37
