,kmatplot.csv,firebird.csv,popeye-chess.csv,cities3d.csv,mscore.csv,openmalaria.csv,riff-evolve.csv
cities3d.csv,0.45,0.16,0.0,0.69,0.39,0.09,0.25
firebird.csv,0.41,0.57,0.83,0.77,0.49,0.53,0.73
kmatplot.csv,0.81,0.04,0.0,0.73,0.42,0.53,0.36
mscore.csv,0.58,0.62,0.79,0.68,0.69,0.71,0.61
openmalaria.csv,0.68,0.62,0.64,0.69,0.72,0.73,0.64
popeye-chess.csv,0.6,0.51,0.68,0.17,0.61,0.58,0.57
riff-evolve.csv,0.67,0.48,0.68,0.73,0.47,0.38,0.71
