,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.56,0.19,0.36,0.31,0.19,0.66,0.8,0.45,0.0,0.58,0.75,0.3
bigdata.csv,0.56,0.84,0.23,0.46,0.35,0.34,0.2,0.55,1.0,0.77,0.62,0.52
calcubetimer.csv,0.38,0.41,1.0,0.92,0.77,0.84,0.0,1.0,0.25,0.41,0.0,0.48
jas.csv,0.31,0.08,0.68,0.0,0.67,0.2,1.0,0.09,0.75,0.32,0.88,0.2
jbpm.csv,0.12,0.04,0.09,0.0,0.77,0.04,0.0,0.09,0.0,0.09,0.0,0.02
jgossipforum.csv,0.5,0.45,0.59,0.15,0.19,0.27,1.0,0.36,0.75,0.19,0.0,0.4
joustsim.csv,0.56,0.79,0.82,0.31,0.81,0.55,1.0,0.91,0.88,0.78,0.75,0.8
madman.csv,0.75,0.32,0.86,0.23,0.21,0.07,0.2,0.36,1.0,0.05,0.25,0.25
mule.csv,0.44,0.66,0.18,0.92,0.6,0.43,0.2,0.64,0.25,0.27,0.38,0.72
nunit.csv,0.31,0.36,0.18,0.54,0.85,0.52,0.6,0.45,0.5,0.51,0.38,0.7
piccolo2d.csv,0.5,0.29,0.5,0.92,0.5,0.34,0.0,0.55,0.75,0.21,0.0,0.35
sblim.csv,0.06,0.34,0.91,0.62,0.42,0.18,0.0,0.45,0.25,0.08,0.0,0.38
