,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.0,0.0,45.0,12.0,33.0,0.0,80.0,12.0,56.0,0.0,18.0,7.0
bigdata.csv,3.0,2.0,15.0,9.0,12.0,1.0,6.0,2.0,25.0,0.0,1.0,12.0
calcubetimer.csv,12.0,1.0,0.0,30.0,29.0,0.0,224.0,5.0,21.0,1.0,124.0,1.0
jas.csv,3.0,0.0,0.0,94.0,1.0,2.0,87.0,1.0,14.0,1.0,3.0,1.0
jbpm.csv,2.0,1.0,3.0,94.0,0.0,0.0,224.0,10.0,56.0,0.0,124.0,0.0
jgossipforum.csv,10.0,0.0,11.0,4.0,11.0,1.0,2.0,0.0,5.0,0.0,124.0,2.0
joustsim.csv,10.0,0.0,18.0,12.0,1.0,0.0,52.0,1.0,20.0,0.0,1.0,0.0
madman.csv,5.0,0.0,0.0,18.0,54.0,0.0,105.0,27.0,3.0,1.0,10.0,0.0
mule.csv,5.0,0.0,4.0,20.0,2.0,0.0,25.0,0.0,12.0,0.0,4.0,2.0
nunit.csv,7.0,2.0,20.0,21.0,1.0,0.0,50.0,16.0,19.0,0.0,0.0,1.0
piccolo2d.csv,6.0,4.0,6.0,3.0,7.0,0.0,224.0,7.0,5.0,0.0,124.0,0.0
sblim.csv,3.0,1.0,0.0,8.0,8.0,0.0,224.0,1.0,8.0,0.0,124.0,1.0
