,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.58,0.22,0.36,0.35,0.22,0.0,0.72,0.48,0.0,0.54,0.72,0.34
bigdata.csv,0.53,0.65,0.27,0.5,0.38,0.38,0.24,0.58,0.0,0.69,0.61,0.55
calcubetimer.csv,0.4,0.45,0.67,0.39,0.71,0.87,0.0,0.84,0.27,0.43,0.0,0.5
jas.csv,0.34,0.1,0.65,0.0,0.63,0.0,0.77,0.11,0.71,0.36,0.88,0.24
jbpm.csv,0.14,0.05,0.11,0.0,0.79,0.05,0.0,0.11,0.0,0.11,0.0,0.02
jgossipforum.csv,0.48,0.49,0.61,0.18,0.22,0.31,0.99,0.41,0.75,0.23,0.0,0.45
joustsim.csv,0.48,0.51,0.4,0.35,0.75,0.58,0.86,0.9,0.73,0.54,0.72,0.63
madman.csv,0.55,0.34,0.6,0.27,0.24,0.08,0.23,0.35,0.94,0.06,0.26,0.28
mule.csv,0.46,0.65,0.21,0.68,0.63,0.49,0.24,0.65,0.29,0.31,0.43,0.72
nunit.csv,0.32,0.4,0.21,0.56,0.65,0.55,0.62,0.48,0.45,0.53,0.41,0.7
piccolo2d.csv,0.49,0.34,0.54,0.88,0.53,0.39,0.0,0.58,0.75,0.25,0.0,0.4
sblim.csv,0.07,0.38,0.88,0.64,0.47,0.22,0.0,0.49,0.29,0.1,0.0,0.42
