,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.77,0.58,0.9,0.59,0.44,0.64,0.58,0.67,0.62,0.58,0.83
cubefs.csv,0.61,0.71,0.84,0.5,0.43,0.44,0.46,0.5,0.77,0.43,0.55
iaml.csv,0.54,0.52,0.48,0.45,0.39,0.69,0.59,0.64,0.45,0.39,0.42
ivataopenportal.csv,0.48,0.8,0.51,0.46,0.44,0.56,0.52,0.44,0.54,0.36,0.36
mb-unit.csv,0.49,0.75,0.54,0.45,0.31,0.42,0.6,0.48,0.47,0.39,0.43
mvdsv.csv,0.0,0.0,0.0,0.0,0.83,0.0,0.5,0.0,0.0,0.0,0.0
nova.csv,0.57,0.69,0.48,0.58,0.5,0.44,0.52,0.46,0.41,0.37,0.38
olex2.csv,0.69,0.5,0.71,0.64,0.48,0.97,0.66,0.54,0.57,0.41,0.49
openwbem.csv,0.64,0.47,0.63,0.59,0.57,0.6,0.66,0.44,0.68,0.64,0.48
xcmetadataservicestoolkit.csv,0.68,0.91,0.49,0.6,0.45,0.54,0.42,0.73,0.41,0.41,0.57
