,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.25,0.3,0.0,0.22,0.84,0.19,0.32,0.41,0.39,0.4,0.27
cubefs.csv,0.45,0.07,0.3,0.31,0.78,0.5,0.75,0.03,0.2,0.33,0.45
iaml.csv,0.63,0.39,0.62,0.55,0.6,0.58,0.02,0.41,0.64,0.73,0.63
ivataopenportal.csv,0.49,0.14,0.64,0.77,0.48,0.03,0.57,0.62,0.47,0.73,0.89
mb-unit.csv,0.9,0.02,0.44,0.04,0.67,0.86,0.26,0.68,0.49,0.53,0.31
mvdsv.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nova.csv,0.51,0.02,0.47,0.55,0.51,0.63,0.47,0.53,0.73,0.67,0.63
olex2.csv,0.22,0.02,0.32,0.27,0.33,0.12,0.33,0.35,0.37,0.53,0.04
openwbem.csv,0.01,0.98,0.6,0.62,0.67,0.78,0.39,0.82,0.47,0.33,0.75
xcmetadataservicestoolkit.csv,0.42,0.2,0.66,0.36,0.54,0.72,0.54,0.21,0.54,0.0,0.21
