,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.77,0.61,0.05,0.66,0.84,0.78,0.71,0.69,0.39,0.78,0.78
cubefs.csv,0.63,0.7,0.69,0.52,1.02,0.59,0.83,0.04,0.2,0.5,0.61
iaml.csv,0.73,0.79,0.63,0.67,0.6,0.76,0.05,0.79,1.19,0.8,0.69
ivataopenportal.csv,0.59,0.71,0.72,0.81,0.58,0.05,0.79,0.66,1.11,0.77,0.89
mb-unit.csv,0.9,0.77,0.61,0.04,0.67,0.86,0.69,0.69,0.49,0.65,0.53
mvdsv.csv,1.0,1.0,1.0,1.0,0.0,1.0,0.99,1.0,1.0,1.0,0.98
nova.csv,0.6,0.08,0.51,0.71,1.12,0.73,0.72,0.61,0.73,0.76,0.68
olex2.csv,0.68,0.92,0.78,0.68,0.47,0.85,0.83,0.74,0.37,0.64,0.04
openwbem.csv,0.12,1.05,0.66,0.72,0.94,0.88,0.79,0.83,1.11,0.66,0.83
xcmetadataservicestoolkit.csv,0.59,0.87,0.69,0.62,0.54,0.77,0.71,0.73,1.14,0.03,0.67
