,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.31,0.37,0.98,0.54,0.18,0.34,0.45,0.54,0.08,0.44,0.34
cubefs.csv,0.47,0.4,0.27,0.72,0.07,0.64,0.59,0.98,0.14,0.71,0.55
iaml.csv,0.46,0.24,0.37,0.72,0.24,0.49,0.97,0.43,0.0,0.69,0.59
ivataopenportal.csv,0.53,0.35,0.28,0.79,0.2,0.96,0.48,0.75,0.0,0.76,0.61
mb-unit.csv,0.53,0.35,0.31,0.99,0.22,0.69,0.46,0.79,0.06,0.68,0.59
mvdsv.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.0,0.03
nova.csv,0.52,0.92,0.4,0.66,0.0,0.57,0.5,0.72,0.04,0.67,0.61
olex2.csv,0.41,0.13,0.2,0.53,0.26,0.25,0.32,0.47,0.08,0.7,0.98
openwbem.csv,0.93,0.25,0.31,0.72,0.08,0.52,0.39,0.79,0.0,0.55,0.5
xcmetadataservicestoolkit.csv,0.5,0.17,0.33,0.64,0.26,0.6,0.56,0.43,0.0,0.99,0.45
