,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,0.05,0.62,0.57,0.59,0.68,0.5,0.69,0.21,0.11,1.0,0.65,0.49,0.62,0.18,0.61,0.35,0.46,0.47
fbmanager.csv,0.0,0.55,0.26,0.97,0.33,0.64,0.66,0.4,0.06,0.51,0.61,0.46,0.74,0.19,0.37,0.31,0.41,0.41
freenet.csv,0.04,0.43,0.67,0.62,0.8,0.91,0.99,0.23,0.05,0.62,0.76,0.51,0.77,0.04,0.41,0.33,0.47,0.4
geogebra.csv,0.0,0.38,0.36,0.15,0.78,0.38,0.68,0.19,0.06,0.41,0.63,0.5,0.29,0.0,0.32,0.08,0.41,0.95
google-caja.csv,0.03,0.59,0.58,0.67,0.76,0.63,0.72,0.32,0.09,0.64,0.99,0.48,0.8,0.22,0.45,0.39,0.45,0.48
hibernate.csv,0.07,0.45,0.67,0.28,0.73,0.33,0.54,0.34,0.11,0.73,0.54,0.29,0.34,0.21,0.44,0.0,0.98,0.33
illumination.csv,0.0,0.46,0.5,0.52,0.73,0.34,0.6,0.09,0.08,0.35,0.39,0.32,0.56,0.32,0.28,0.97,0.25,0.33
kindb.csv,0.03,0.65,0.65,0.66,0.66,0.67,0.68,0.26,0.1,0.58,0.7,0.42,0.99,0.2,0.48,0.35,0.46,0.52
officefloor.csv,0.0,0.32,0.4,0.45,0.72,0.48,0.54,0.1,0.94,0.17,0.64,0.23,0.58,0.27,0.0,0.0,0.35,0.25
paintown.csv,0.03,0.99,0.59,0.5,0.56,0.8,0.66,0.31,0.08,0.64,0.65,0.46,0.77,0.26,0.47,0.24,0.48,0.42
poormans.csv,0.05,0.54,0.52,0.52,0.76,0.85,0.73,0.18,0.08,0.57,0.54,0.35,0.8,0.23,1.0,0.32,0.38,0.37
qlc.csv,0.0,0.29,0.21,0.27,0.0,0.25,0.11,0.94,0.0,0.07,0.1,0.0,0.0,0.07,0.0,0.0,0.04,0.15
repositorium.csv,0.05,0.37,0.77,0.41,0.78,0.63,0.72,0.06,0.11,0.67,0.69,0.51,0.2,0.95,0.43,0.3,0.44,0.37
sevenupdate.csv,0.03,0.64,0.71,0.74,0.75,1.0,0.76,0.25,0.05,0.7,0.78,0.45,0.69,0.21,0.37,0.34,0.43,0.4
sqlpower-library.csv,0.02,0.64,0.7,0.67,0.98,0.93,0.76,0.27,0.06,0.65,0.84,0.45,0.85,0.21,0.37,0.34,0.44,0.4
triplea.csv,0.0,0.62,0.98,0.73,0.75,0.52,0.76,0.24,0.07,0.64,0.79,0.33,0.75,0.17,0.39,0.4,0.41,0.46
yarp0.csv,0.0,0.27,0.39,0.43,0.53,0.38,0.71,0.09,0.04,0.43,0.5,1.0,0.67,0.22,0.28,0.23,0.4,0.39
