,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.51,0.7,0.63,0.66,0.56,0.33,0.51,0.49,0.65,0.37,0.57,0.73,0.13,0.51,0.31
firebird.csv,0.46,0.61,0.51,0.58,0.64,0.56,0.59,0.4,0.7,0.61,0.63,0.36,0.4,0.6,0.67
flylegacy.csv,0.57,0.65,0.6,0.58,0.64,0.62,0.2,0.32,0.53,0.69,0.61,0.42,0.32,0.6,0.59
gzigzag.csv,0.1,0.76,0.37,0.42,0.43,0.16,0.61,0.59,0.43,0.41,0.35,0.22,0.43,0.78,0.66
hydrogen.csv,0.59,0.0,0.0,0.0,0.0,0.36,0.51,0.53,0.87,0.0,0.0,0.21,0.0,0.23,0.0
mcore3d.csv,0.55,0.6,0.65,0.55,0.68,0.68,0.42,0.38,0.29,0.47,0.44,0.2,0.24,0.52,0.83
nabu-library.csv,0.1,0.12,0.29,0.63,0.62,0.37,0.2,0.26,0.68,0.4,0.5,0.37,0.86,0.44,0.67
ogrehg.csv,0.38,0.5,0.43,0.39,0.65,0.68,0.65,0.55,0.65,0.54,0.69,0.35,0.34,0.64,0.62
qgo.csv,0.49,0.87,0.0,0.49,0.65,0.61,0.6,0.63,0.72,0.17,0.63,0.37,0.68,0.62,0.66
qtractor.csv,0.37,0.2,0.45,0.47,0.64,0.71,0.64,0.65,0.7,0.78,0.69,0.54,0.49,0.7,0.72
rhex.csv,0.82,0.64,0.54,0.41,0.2,0.37,0.41,0.44,0.6,0.4,0.38,0.04,0.42,0.24,0.65
rocrail.csv,0.79,0.64,0.57,0.51,0.43,0.45,0.56,0.49,0.76,0.59,0.56,0.28,0.86,0.53,0.83
webdriver.csv,0.46,0.7,0.58,0.62,0.64,0.72,0.56,0.73,0.72,0.58,0.6,0.59,0.35,0.66,0.71
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0
yield.csv,0.56,0.76,0.42,0.67,0.62,0.74,0.5,0.5,0.72,0.71,0.73,0.55,0.36,0.68,0.74
