,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.94,0.58,0.27,0.1,0.0,0.53,0.16,0.24,0.5,0.54,0.0,0.42,0.0,0.26,0.34
e-bio-flow.csv,0.22,0.17,0.65,0.16,0.0,0.62,0.92,0.0,0.31,0.74,0.2,0.42,0.0,0.07,0.26
haggle.csv,0.59,0.4,0.35,0.42,0.0,1.0,0.44,0.44,0.58,0.73,0.61,0.0,0.0,0.34,0.42
hannosset.csv,0.0,0.06,0.0,0.0,0.0,0.0,0.04,0.0,0.11,0.15,1.0,0.05,0.0,0.07,0.0
jas.csv,0.34,0.41,0.1,0.15,0.0,0.37,0.12,0.62,0.0,0.4,0.0,0.4,1.0,0.2,0.21
jbpm.csv,0.09,0.54,0.1,0.95,0.0,0.35,0.2,0.0,0.0,0.0,0.0,0.01,0.54,0.23,0.02
jgossipforum.csv,0.18,0.11,0.0,0.07,0.38,0.0,0.09,1.0,0.0,0.15,0.0,0.16,0.0,0.3,0.0
joustsim.csv,0.53,0.06,0.18,0.18,0.0,0.3,0.2,0.64,1.0,0.64,0.2,0.52,0.43,0.3,0.37
log4net.csv,0.0,0.0,0.1,0.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.05,0.31,0.27,0.02,0.0,0.1,0.24,0.0,0.0,1.0,0.2,0.07,0.0,0.13,0.18
ngl.csv,0.74,0.56,0.68,0.56,0.72,0.68,0.7,0.44,0.61,0.69,0.47,1.0,0.51,0.32,0.55
nunit.csv,0.23,0.63,0.54,0.42,0.0,0.19,0.41,0.23,0.56,0.14,0.2,0.16,0.29,0.29,0.96
piccolo2d.csv,0.0,0.0,1.0,0.41,0.0,0.01,0.27,0.0,0.11,0.0,0.0,0.01,0.28,0.13,0.1
sblim.csv,0.0,0.96,0.36,0.16,0.0,0.1,0.16,0.0,0.0,0.0,0.0,0.05,0.0,0.24,0.15
wsmt.csv,0.41,0.38,0.1,0.29,0.38,0.48,0.16,0.24,0.31,0.76,0.2,0.47,0.0,0.95,0.29
