,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,1240.0,89.5,96.5,80.5,266.5,95.5,98.5,784.5,1105.5,567.0,382.0,197.5,567.0
flylinkdc.csv,367.0,99.0,690.0,492.0,2510.0,97.5,98.5,771.5,1284.0,197.5,379.0,99.0,563.0
fw4spl.csv,860.0,97.5,185.0,292.0,935.0,176.0,98.5,1415.5,777.0,196.5,188.0,197.5,472.5
grisbi.csv,1044.0,99.0,690.0,393.0,3823.5,97.5,98.5,1488.5,1379.5,98.5,670.0,99.0,758.5
mesa3d.csv,642.5,99.0,195.0,94.5,2061.0,97.5,96.5,1587.5,1200.5,98.5,579.0,290.5,576.0
nuttx.csv,559.0,99.0,277.5,94.5,1401.5,97.5,98.5,1315.5,275.5,98.5,284.5,94.5,471.0
panda3d.csv,266.5,99.0,195.0,391.0,2194.0,86.5,95.5,874.0,1199.5,389.0,476.5,376.0,542.0
proftp.csv,180.0,95.5,277.5,78.5,84.5,97.5,98.5,0.0,432.0,98.5,213.0,197.5,175.0
qmmp.csv,948.5,94.5,195.0,391.0,3350.5,185.0,96.5,1586.5,2185.0,759.0,282.5,99.0,653.0
skia.csv,273.5,98.5,277.5,95.5,1204.5,97.5,98.5,67.5,961.5,98.5,481.0,197.5,356.0
tart.csv,565.5,97.5,1047.5,294.0,2054.0,97.5,98.5,1668.5,85.5,98.5,572.5,366.0,473.0
tcvp.csv,381.5,0.0,22.5,17.5,360.0,0.0,67.5,740.5,394.0,272.0,0.0,292.5,275.0
utgb.csv,759.5,99.0,181.0,292.5,2501.0,176.0,95.5,1331.0,1094.0,97.5,188.0,451.5,975.0
