,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.69,1.0,0.75,0.96,0.96,0.53,0.9,0.92,0.24,0.77,0.89,0.88,0.63
badtrinity-zero.csv,0.99,0.63,0.45,0.7,0.86,0.61,0.75,0.47,0.82,0.78,0.71,0.7,0.84
betoffice.csv,0.89,0.96,0.94,0.88,0.64,0.86,0.92,0.95,0.68,0.82,0.91,0.93,1.06
exordium.csv,0.67,0.9,0.65,0.67,0.83,0.44,0.27,0.51,0.66,0.37,0.71,0.48,0.49
fltk.csv,0.75,0.61,0.57,0.43,0.79,0.8,0.47,0.4,0.93,0.72,0.63,0.65,0.6
gabel.csv,0.68,0.9,0.79,0.61,0.94,0.46,0.45,0.59,0.79,0.32,0.64,0.68,0.58
genoviz.csv,0.77,1.0,0.81,0.95,0.98,0.74,0.89,0.86,0.84,0.76,0.87,1.0,0.09
irrlicht.csv,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.64,0.99,1.0
nug.csv,0.32,0.9,0.8,0.96,0.76,0.59,0.75,0.98,0.56,0.45,0.73,0.66,0.6
rezilla.csv,0.92,0.35,0.76,0.74,0.72,0.72,0.61,1.02,0.76,0.44,0.75,0.89,0.96
toped.csv,0.75,0.95,0.81,0.86,0.64,0.96,0.82,0.24,0.93,0.9,0.8,0.65,0.91
xmemcached.csv,0.61,1.0,0.91,0.76,0.58,0.31,0.93,0.95,0.69,0.98,0.82,0.71,0.93
zoolib.csv,0.74,0.9,0.7,0.61,0.79,0.66,0.52,0.58,0.71,0.4,0.69,0.4,0.54
