,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.34,0.43,0.57,0.45,0.81,0.23,0.58,0.97,0.25,0.31,0.59,0.13,0.43
bscwweasel.csv,0.0,0.0,0.16,0.8,0.29,0.0,0.17,0.08,0.09,0.0,0.04,0.0,0.06
capcode.csv,0.02,0.43,0.48,0.25,0.05,0.47,0.92,0.22,0.15,0.06,0.04,0.13,0.6
emite.csv,0.76,0.14,0.34,0.35,0.29,0.02,0.17,0.05,0.18,0.75,0.81,0.94,0.4
extprosys.csv,0.99,0.43,0.84,0.85,0.86,0.87,0.5,0.86,0.98,0.62,0.81,0.87,0.66
lamp.csv,0.01,0.86,0.2,0.15,0.29,0.08,0.17,0.38,0.05,0.06,0.33,0.03,0.14
retromenu.csv,0.12,0.43,0.39,0.3,1.0,0.11,0.42,0.38,0.13,0.5,0.56,0.1,0.29
smbopensoft.csv,0.95,0.5,0.64,0.4,1.0,0.15,0.58,0.32,0.31,0.5,0.48,0.16,0.23
snakeyaml.csv,0.24,0.43,0.27,0.25,0.52,0.04,0.33,0.41,0.44,0.12,0.85,0.71,0.66
stuproa-cims.csv,0.98,0.5,0.64,0.6,0.95,0.13,0.75,1.0,0.96,0.88,0.52,0.52,0.37
ta3d.csv,0.92,1.0,0.84,0.75,0.76,0.89,0.67,0.59,0.76,0.5,0.67,0.77,1.0
thout.csv,0.15,0.71,0.93,0.6,0.76,0.72,0.83,1.0,0.93,0.75,0.67,0.87,0.8
vrjuggler.csv,0.05,0.0,0.09,0.05,0.1,0.02,0.0,0.0,0.13,0.88,0.07,0.1,0.2
