,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.67,0.64,0.5,0.64,0.4,0.78,0.61,0.03,0.79,0.95,0.47,0.88,0.62
bscwweasel.csv,1.0,1.0,0.84,0.2,0.71,1.0,0.84,0.92,0.91,1.0,0.96,1.0,0.94
capcode.csv,0.98,0.7,0.72,0.76,0.95,0.72,0.08,0.93,0.87,0.94,0.99,0.88,0.69
emite.csv,0.51,0.9,0.73,0.68,0.77,0.98,0.87,0.95,0.83,0.69,0.79,0.06,0.74
extprosys.csv,1.0,0.91,0.97,0.97,0.86,0.13,0.97,0.81,0.99,0.8,0.91,0.96,0.82
lamp.csv,0.99,0.14,0.8,0.85,0.72,0.93,0.85,0.67,0.95,0.94,0.67,0.97,0.87
retromenu.csv,0.88,0.59,0.62,0.7,0.0,0.89,0.67,0.64,0.87,0.75,0.46,0.9,0.76
smbopensoft.csv,0.06,0.61,0.47,0.69,0.42,0.85,0.52,0.68,0.72,0.59,0.56,0.84,0.89
snakeyaml.csv,0.76,0.82,0.73,0.89,0.49,0.97,0.73,0.8,0.71,0.88,0.15,0.78,0.94
stuproa-cims.csv,0.99,0.56,0.77,0.6,0.91,0.88,0.68,1.0,0.04,0.64,0.58,0.77,0.68
ta3d.csv,0.97,0.87,0.93,0.76,0.75,0.87,0.87,0.66,0.74,0.83,0.85,0.83,0.06
thout.csv,0.86,1.0,0.07,1.0,0.94,0.85,0.89,1.0,0.99,0.8,0.47,0.98,0.84
vrjuggler.csv,0.95,1.0,0.91,0.95,0.91,0.98,1.01,1.0,0.88,0.13,0.93,0.91,0.81
