,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,3.0,11.0,3.0,12.0,7.0,1.0,0.0,0.0,23.0,9.0,3.0,1.0,0.0
bscwweasel.csv,199.0,142.0,2.0,0.0,0.0,186.0,0.0,3.0,4.0,74.0,0.0,70.0,0.0
capcode.csv,0.0,12.0,2.0,7.0,1.0,2.0,0.0,4.0,5.0,5.0,41.0,0.0,2.0
emite.csv,3.0,22.0,13.0,13.0,4.0,2.0,6.0,1.0,3.0,14.0,41.0,0.0,1.0
extprosys.csv,1.0,13.0,2.0,49.0,11.0,1.0,0.0,5.0,6.0,13.0,72.0,3.0,3.0
lamp.csv,0.0,0.0,6.0,4.0,1.0,0.0,5.0,3.0,1.0,7.0,8.0,0.0,1.0
retromenu.csv,1.0,3.0,5.0,1.0,0.0,2.0,1.0,0.0,1.0,8.0,1.0,0.0,0.0
smbopensoft.csv,0.0,18.0,0.0,12.0,0.0,0.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0
snakeyaml.csv,1.0,9.0,1.0,42.0,5.0,6.0,7.0,5.0,4.0,4.0,0.0,3.0,3.0
stuproa-cims.csv,1.0,11.0,11.0,25.0,10.0,0.0,14.0,5.0,0.0,6.0,21.0,3.0,0.0
ta3d.csv,1.0,4.0,22.0,30.0,9.0,2.0,25.0,5.0,1.0,6.0,58.0,7.0,0.0
thout.csv,8.0,13.0,0.0,49.0,13.0,2.0,0.0,5.0,6.0,10.0,15.0,3.0,3.0
vrjuggler.csv,2.0,142.0,2.0,3.0,5.0,0.0,82.0,116.0,10.0,0.0,4.0,1.0,0.0
