,freelords.csv,gpsmid.csv,jmule.csv,botsnscouts.csv,heekscad.csv,plplot.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.21,0.11,0.86,0.22,0.23,0.28,0.33,0.66,0.58
freelords.csv,0.39,0.37,0.66,0.78,0.28,0.88,0.25,0.63,0.47
gpsmid.csv,0.18,0.18,0.97,0.33,0.98,0.86,0.43,0.67,0.88
heekscad.csv,0.07,0.29,0.24,0.44,0.28,0.3,0.59,0.36,0.58
jmule.csv,0.21,0.39,0.1,0.7,0.77,0.37,0.57,0.65,0.55
magicwars.csv,0.75,0.61,0.93,0.89,1.0,1.0,0.08,0.76,0.83
plplot.csv,0.29,0.21,0.14,0.33,0.62,0.23,0.03,0.27,0.52
turbotrader-bos.csv,0.14,0.05,0.0,0.07,0.4,0.09,0.04,0.24,0.41
xmemcached.csv,0.29,0.34,0.97,0.74,0.81,0.74,0.65,0.88,0.17
