,freelords.csv,gpsmid.csv,jmule.csv,botsnscouts.csv,heekscad.csv,plplot.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.37,0.48,0.45,0.71,0.72,0.59,0.56,0.66,0.69
freelords.csv,0.68,0.74,0.7,0.55,0.76,0.4,0.56,0.69,0.69
gpsmid.csv,0.48,0.77,0.13,0.6,0.09,0.42,0.65,0.66,0.39
heekscad.csv,0.24,0.69,0.64,0.67,0.79,0.37,0.65,0.75,0.67
jmule.csv,0.6,0.74,0.81,0.62,0.57,0.58,0.62,0.68,0.68
magicwars.csv,0.59,0.7,0.27,0.38,0.0,0.0,0.68,0.58,0.47
plplot.csv,0.57,0.62,0.1,0.64,0.52,0.72,0.46,0.52,0.48
turbotrader-bos.csv,0.28,0.56,0.0,0.26,0.61,0.34,0.36,0.69,0.61
xmemcached.csv,0.49,0.67,0.13,0.58,0.34,0.51,0.55,0.4,0.79
