,utgb.csv,fw4spl.csv,nassp.csv,super-tux.csv,soar.csv,mesa3d.csv,ipfilter.csv,tencompetence.csv,rockbox.csv
fw4spl.csv,0.6,0.62,0.42,0.31,0.52,0.54,0.48,0.1,0.53
ipfilter.csv,0.54,0.35,0.92,0.65,0.71,0.93,0.96,0.96,0.58
mesa3d.csv,0.66,0.94,0.92,0.71,0.61,0.57,0.28,0.3,0.63
nassp.csv,0.4,0.5,0.75,0.25,0.61,0.03,0.02,0.06,0.16
rockbox.csv,0.43,0.48,0.58,0.28,0.16,0.61,0.52,0.13,0.79
soar.csv,0.8,0.94,1.0,0.98,0.65,1.0,1.0,0.89,1.0
super-tux.csv,0.6,0.88,0.75,0.92,0.0,0.84,0.63,0.33,0.79
tencompetence.csv,0.29,0.1,0.17,0.49,0.65,0.46,0.11,0.82,0.0
utgb.csv,0.69,0.67,0.67,0.4,0.39,0.3,0.37,0.22,0.37
