,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv,bzbyte.csv,v8.csv
bochs.csv,0.93,0.68,0.71,0.56,0.76,0.54,0.89,0.75,0.73
bzbyte.csv,0.0,0.0,0.71,0.0,0.0,1.0,0.57,0.74,0.0
encog-java.csv,0.66,0.08,0.03,0.31,0.32,0.31,0.11,0.09,0.0
galaxium.csv,0.68,0.74,0.51,0.79,0.34,0.85,0.77,0.56,0.49
h2database.csv,0.59,0.7,0.14,0.67,0.22,0.23,0.26,0.32,0.16
haphazard.csv,0.34,0.15,0.51,0.39,0.15,0.54,0.23,0.53,0.17
jaql.csv,0.93,0.4,0.43,0.64,0.36,0.38,0.6,0.46,0.16
raven-monitoring.csv,0.7,0.43,0.74,0.43,0.22,0.69,0.69,0.58,0.5
v8.csv,0.07,0.49,0.71,0.56,0.78,0.46,0.63,0.23,0.82
