,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.4,0.3,0.22,0.26,0.69,0.21,0.0,0.4,0.61,0.11,0.21,0.77,0.78,0.11,0.67,0.68,0.2
bwapi.csv,0.73,0.22,0.22,0.19,0.49,0.55,0.45,0.12,0.34,0.2,0.35,0.84,0.7,0.1,0.41,0.83,0.17
co-ode-owl-plugins.csv,0.53,0.42,0.35,0.22,0.71,0.53,0.36,0.63,0.62,0.18,0.1,0.47,0.32,0.07,0.7,0.77,0.1
firebreath.csv,0.63,0.32,0.27,0.27,0.72,0.59,0.34,0.17,0.62,0.25,0.16,0.71,0.6,0.16,0.52,0.43,0.2
frogatto.csv,0.73,0.26,0.26,0.28,0.6,0.57,0.51,0.15,0.56,0.38,0.36,0.79,0.7,0.1,0.7,0.38,0.3
gretl.csv,0.81,0.27,0.29,0.29,0.69,0.48,0.37,0.34,0.54,0.2,0.19,0.81,0.63,0.16,0.69,0.86,0.14
jasperreports.csv,0.49,0.19,0.22,0.16,0.44,0.53,0.41,0.11,0.19,0.19,0.38,0.76,0.67,0.45,0.29,0.21,0.09
konversation.csv,0.48,0.3,0.46,0.29,0.48,0.6,0.26,0.38,0.16,0.18,0.29,0.58,0.44,0.18,0.36,0.23,0.15
linuxsh.csv,0.54,0.47,0.34,0.19,0.65,0.26,0.0,0.47,0.58,0.16,0.0,0.26,0.29,0.04,0.63,0.58,0.0
moviesandbox.csv,0.72,0.37,0.31,0.24,0.73,0.51,0.18,0.52,0.62,0.19,0.11,0.38,0.37,0.11,0.67,0.37,0.14
ontomorphtab.csv,0.75,0.26,0.27,0.28,0.7,0.57,0.42,0.11,0.49,0.21,0.22,0.78,0.69,0.26,0.61,0.33,0.12
opengs.csv,0.33,0.35,0.39,0.36,0.68,0.51,0.24,0.2,0.7,0.22,0.0,0.4,0.4,0.09,0.55,0.54,0.41
scite-ru.csv,0.78,0.28,0.26,0.24,0.73,0.51,0.42,0.31,0.67,0.2,0.35,0.62,0.46,0.1,0.74,0.87,0.18
tokratan.csv,0.56,0.3,0.36,0.35,0.66,0.43,0.17,0.13,0.49,0.33,0.24,0.8,0.57,0.14,0.36,0.23,0.37
vrjuggler.csv,0.68,0.23,0.39,0.14,0.64,0.38,0.32,0.41,0.26,0.15,0.44,0.51,0.27,0.14,0.6,0.4,0.0
wxcode.csv,0.43,0.0,0.44,0.29,0.37,0.34,0.5,0.1,0.0,0.4,0.22,0.51,0.46,0.29,0.15,0.18,0.5
xuggle.csv,0.55,0.3,0.31,0.42,0.67,0.49,0.48,0.14,0.68,0.39,0.15,0.69,0.67,0.09,0.67,0.79,0.37
