,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.91,0.19,0.18,0.68,0.57,0.78,0.41,0.09,0.34,0.74,0.92
empserver.csv,0.79,0.2,0.13,0.68,0.74,0.72,0.56,0.11,0.25,0.69,1.0
enlightenment.csv,0.66,0.23,0.13,0.72,0.52,0.66,0.44,0.08,0.22,0.63,0.73
ffigo.csv,0.69,0.29,0.09,0.0,0.0,0.71,1.0,0.0,0.26,0.78,0.0
ildjit.csv,0.63,0.54,0.14,0.52,0.47,0.61,0.28,0.0,0.17,0.64,0.86
jfreereport.csv,0.86,0.08,0.26,0.76,0.7,0.82,0.53,0.12,0.43,0.82,0.82
lufa-lib.csv,0.6,0.23,0.2,0.63,0.67,0.68,0.62,0.1,0.57,0.73,0.72
pcsx2.csv,0.79,0.14,0.17,0.68,0.59,0.81,0.43,0.0,0.22,0.89,0.83
psycle.csv,0.79,0.15,0.19,0.66,0.54,0.75,0.45,0.02,0.25,0.81,0.88
wikipediardware.csv,0.74,0.16,0.13,0.64,0.52,0.68,0.42,0.09,0.23,0.65,0.96
wxjs.csv,0.86,0.0,0.09,0.57,0.33,0.69,0.57,0.33,0.0,0.6,0.62
