,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.45,0.23,0.29,0.54,0.32,0.64,0.26,0.13,0.43,0.57,0.47
empserver.csv,0.53,0.27,0.22,0.41,0.69,0.59,0.48,0.19,0.39,0.71,0.31
enlightenment.csv,0.79,0.37,0.23,0.67,0.69,0.79,0.61,0.15,0.36,0.78,0.84
ffigo.csv,0.35,0.11,0.14,0.0,0.0,0.1,0.02,0.0,0.28,0.72,0.0
ildjit.csv,0.52,0.62,0.14,0.32,0.46,0.26,0.07,0.0,0.27,0.35,0.46
jfreereport.csv,0.23,0.08,0.34,0.42,0.3,0.51,0.38,0.12,0.34,0.57,0.37
lufa-lib.csv,0.56,0.35,0.29,0.64,0.27,0.69,0.65,0.16,0.41,0.75,0.7
pcsx2.csv,0.63,0.16,0.27,0.63,0.65,0.77,0.56,0.0,0.36,0.34,0.65
psycle.csv,0.72,0.21,0.31,0.69,0.47,0.79,0.55,0.03,0.39,0.48,0.55
wikipediardware.csv,0.7,0.24,0.23,0.7,0.66,0.75,0.57,0.16,0.37,0.68,0.82
wxjs.csv,0.28,0.0,0.09,0.16,0.13,0.18,0.06,0.48,0.0,0.14,0.22
