,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.35,0.34,0.64,0.49,0.26,0.57,0.22,0.29,0.6,0.5,0.37
empserver.csv,0.44,0.45,0.32,0.33,0.66,0.52,0.46,0.61,0.62,0.65,0.22
enlightenment.csv,0.0,0.0,0.0,0.63,0.0,0.0,0.21,0.0,0.05,0.0,0.0
ffigo.csv,0.27,0.09,0.29,0.0,0.0,0.07,0.01,0.0,0.35,0.67,0.0
ildjit.csv,0.46,0.74,0.18,0.28,0.44,0.2,0.05,0.0,0.16,0.28,0.37
jfreereport.csv,0.17,0.09,0.53,0.33,0.23,0.42,0.34,0.15,0.34,0.48,0.28
lufa-lib.csv,0.47,0.56,0.53,0.6,0.2,0.59,0.7,0.42,0.37,0.7,0.54
pcsx2.csv,0.55,0.2,0.62,0.6,0.64,0.72,0.52,0.0,0.13,0.25,0.56
psycle.csv,0.66,0.35,0.72,0.65,0.45,0.71,0.59,0.14,0.53,0.39,0.44
wikipediardware.csv,0.63,0.41,0.0,0.64,0.24,0.57,0.32,0.27,0.52,0.58,0.75
wxjs.csv,0.2,0.0,0.1,0.11,0.1,0.12,0.04,0.87,0.0,0.1,0.16
