,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.15,0.21,0.26,0.21,0.19,0.23,0.15,0.17,0.23,0.18,0.15
empserver.csv,0.16,0.24,0.42,0.16,0.25,0.21,0.25,0.29,0.32,0.24,0.12
enlightenment.csv,0.47,0.4,0.42,0.23,0.41,0.43,0.5,0.39,0.41,0.38,0.42
ffigo.csv,0.19,0.36,0.33,0.45,0.41,0.41,0.52,0.36,0.22,0.23,0.4
ildjit.csv,0.32,0.29,0.34,0.25,0.26,0.34,0.51,0.2,0.41,0.23,0.19
jfreereport.csv,0.22,0.16,0.18,0.15,0.3,0.18,0.18,0.32,0.14,0.17,0.15
lufa-lib.csv,0.43,0.35,0.24,0.38,0.35,0.36,0.36,0.24,0.26,0.32,0.38
pcsx2.csv,0.26,0.17,0.25,0.27,0.3,0.29,0.4,0.19,0.41,0.13,0.23
psycle.csv,0.25,0.23,0.26,0.29,0.25,0.29,0.31,0.23,0.35,0.15,0.17
wikipediardware.csv,0.28,0.29,0.42,0.31,0.38,0.32,0.46,0.36,0.35,0.27,0.27
wxjs.csv,0.15,0.38,0.37,0.38,0.26,0.38,0.49,0.16,0.42,0.29,0.33
