,mule.csv,springside.csv,swtfox.csv,twostep.csv,geotools.csv,l2j.csv
geotools.csv,0.36,0.3,0.15,0.29,0.98,0.12
l2j.csv,0.75,0.51,0.4,0.65,0.51,1.0
mule.csv,1.0,0.31,0.18,0.48,0.37,0.4
springside.csv,0.66,0.99,0.44,0.67,0.48,0.59
swtfox.csv,0.24,0.26,0.96,0.19,0.24,0.34
twostep.csv,0.65,0.51,0.48,0.98,0.48,0.64
