,f1
inkscape.csv,0.46
wxcrp.csv,0.54
m-m-m.csv,0.33
bacula.csv,0.75
extprosys.csv,0.3
lsb.csv,0.28
fritzing.csv,0.64
robocode.csv,0.32
capcode.csv,0.31
openefm.csv,0.47
etics.csv,0.55
novembre.csv,0.5
lmms.csv,0.54
codeblocks.csv,0.39
ontomorphtab.csv,0.33
x-ray-mule.csv,0.26
openintents.csv,0.43
atomsite.csv,0.21
bloodycore.csv,0.27
checker-framework.csv,0.55
arianne.csv,0.4
dsworkbench.csv,0.5
gogoego.csv,0.37
electric-core.csv,0.51
atlc.csv,0.39
rosegarden.csv,0.6
linuxsh.csv,0.3
theresa.csv,0.21
jcae.csv,0.32
dxengine.csv,0.46
uwom-server.csv,0.33
ivatamasks.csv,0.67
playerstage.csv,0.63
taverna.csv,0.15
rtb-team.csv,0.16
projectts.csv,0.36
autofac.csv,0.48
nsis.csv,0.31
knowledge.csv,0.79
esmf.csv,0.42
abbot.csv,0.68
konversation.csv,0.42
arsenal-1.csv,0.66
utgb.csv,0.22
taokgame.csv,0.23
openmeetings.csv,0.61
nosleepsoftware.csv,0.28
jsidplay2.csv,0.46
chipster.csv,0.26
badtrinitycore.csv,0.31
redshell.csv,0.59
zengine.csv,0.58
javagroups.csv,0.5
hazelcast.csv,0.23
xuggle.csv,0.36
moviesandbox.csv,0.47
jrefactory.csv,0.57
alembik.csv,0.36
mule.csv,0.43
aubit4gl.csv,0.53
sepgsql.csv,0.11
sblim.csv,0.24
pentahoanalysistool.csv,0.51
rezilla.csv,0.25
pcgen.csv,0.64
dvd-create.csv,0.26
freenet.csv,0.57
ivef-sdk.csv,0.63
adonthell.csv,0.32
algebsql.csv,0.15
