,pci_20
inkscape.csv,0.42
wxcrp.csv,0.44
m-m-m.csv,0.7
bacula.csv,0.38
extprosys.csv,0.7
lsb.csv,0.92
fritzing.csv,0.39
robocode.csv,0.75
capcode.csv,0.38
openefm.csv,0.52
etics.csv,0.44
novembre.csv,0.53
lmms.csv,0.57
codeblocks.csv,0.61
ontomorphtab.csv,0.75
x-ray-mule.csv,0.44
openintents.csv,0.36
atomsite.csv,0.86
bloodycore.csv,0.65
checker-framework.csv,0.44
arianne.csv,0.84
dsworkbench.csv,0.5
gogoego.csv,0.57
electric-core.csv,0.67
atlc.csv,0.7
rosegarden.csv,0.56
linuxsh.csv,0.55
theresa.csv,0.42
jcae.csv,0.38
dxengine.csv,0.52
uwom-server.csv,0.46
ivatamasks.csv,0.55
playerstage.csv,0.47
taverna.csv,0.77
rtb-team.csv,0.9
projectts.csv,0.62
autofac.csv,0.62
nsis.csv,0.61
knowledge.csv,0.4
esmf.csv,0.79
abbot.csv,0.33
konversation.csv,0.5
arsenal-1.csv,0.33
utgb.csv,0.82
taokgame.csv,0.42
openmeetings.csv,0.83
nosleepsoftware.csv,0.44
jsidplay2.csv,0.6
chipster.csv,0.82
badtrinitycore.csv,0.65
redshell.csv,0.57
zengine.csv,0.75
javagroups.csv,0.51
hazelcast.csv,0.86
xuggle.csv,0.63
moviesandbox.csv,0.46
jrefactory.csv,0.42
alembik.csv,0.83
mule.csv,0.63
aubit4gl.csv,0.35
sepgsql.csv,0.34
sblim.csv,0.52
pentahoanalysistool.csv,0.5
rezilla.csv,0.8
pcgen.csv,0.41
dvd-create.csv,0.92
freenet.csv,0.46
ivef-sdk.csv,0.77
adonthell.csv,0.7
algebsql.csv,0.71
