,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.0,0.09,0.06,0.15,0.18,0.0,0.12,0.1,0.22,0.11,0.09,0.23
bigdata.csv,0.02,0.91,0.27,0.29,0.12,0.25,0.98,0.08,0.53,0.03,0.12,0.28
calcubetimer.csv,0.48,0.79,0.65,0.84,0.72,0.0,0.68,0.58,0.92,0.84,0.57,0.82
jas.csv,0.02,0.01,0.0,0.05,0.02,0.0,0.07,0.05,0.06,0.08,0.0,0.02
jbpm.csv,0.06,0.04,0.2,0.26,0.0,0.75,0.16,0.05,0.35,0.57,0.1,0.14
jgossipforum.csv,0.0,0.13,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joustsim.csv,0.25,0.27,0.17,0.1,0.08,0.0,0.15,0.0,0.16,0.38,0.06,0.11
madman.csv,0.3,0.26,0.11,0.07,0.08,0.0,0.02,0.05,0.02,0.03,0.03,0.05
mule.csv,0.13,0.0,0.24,0.28,0.29,0.0,0.15,0.18,0.22,0.32,0.1,0.25
nunit.csv,0.17,0.49,0.13,0.32,0.1,0.0,0.12,0.22,0.41,0.54,0.35,0.01
piccolo2d.csv,0.62,0.01,0.0,0.0,0.61,0.0,0.0,0.48,0.02,0.11,0.74,0.03
sblim.csv,0.13,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.02,0.0,0.02,0.02
