,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.94,0.17,0.09,0.54,0.08,0.29,0.0,0.36,0.25,0.22,0.38,0.15
bigdata.csv,0.06,0.94,0.27,0.46,0.04,0.39,1.0,0.27,0.88,1.0,0.0,0.55
calcubetimer.csv,0.69,0.92,0.27,1.0,0.87,1.0,1.0,0.91,1.0,0.89,0.88,0.85
jas.csv,0.06,0.05,0.05,0.08,0.02,0.02,0.4,0.0,0.12,0.05,1.0,0.08
jbpm.csv,0.06,0.03,0.36,0.08,0.96,0.39,0.0,0.0,0.25,0.38,0.12,0.22
jgossipforum.csv,0.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
joustsim.csv,0.06,0.37,0.14,0.08,0.31,0.21,0.8,1.0,0.25,0.4,0.5,0.32
madman.csv,0.31,0.25,0.41,0.08,0.1,0.09,0.2,0.18,1.0,0.08,0.12,0.25
mule.csv,0.06,0.97,0.23,0.69,0.23,0.21,0.2,0.55,0.38,0.47,0.25,0.35
nunit.csv,0.19,0.46,0.09,0.31,0.21,0.43,0.0,0.18,0.12,0.55,0.75,0.92
piccolo2d.csv,0.69,0.03,0.05,0.85,0.65,0.0,0.0,0.09,0.0,0.07,0.75,0.02
sblim.csv,0.0,0.01,1.0,0.0,0.1,0.11,0.0,0.09,0.0,0.01,0.0,0.12
