,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.93,0.97,0.86,0.84,0.99,0.75,0.96,0.9,0.77,0.97,0.93,0.9
bigdata.csv,0.5,0.4,0.69,0.57,0.98,0.43,0.41,0.88,0.42,0.42,0.93,0.52
calcubetimer.csv,0.41,0.35,0.56,0.33,0.4,0.43,0.45,0.38,0.4,0.38,0.43,0.34
jas.csv,0.5,0.88,0.0,0.8,0.88,0.0,0.94,0.67,0.75,0.94,0.88,0.83
jbpm.csv,0.8,0.89,0.76,0.95,0.98,0.84,0.94,0.67,0.95,0.81,0.92,0.97
jgossipforum.csv,0.0,0.94,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0
joustsim.csv,0.76,0.58,0.88,0.89,0.98,0.83,0.94,0.82,0.8,0.57,0.91,0.97
madman.csv,0.75,0.92,0.72,0.86,0.97,0.8,0.83,0.8,0.78,0.96,0.75,0.94
mule.csv,0.89,0.47,0.76,0.53,0.63,0.58,0.94,0.53,0.71,0.43,0.93,0.63
nunit.csv,0.93,0.59,0.92,0.77,0.98,0.62,0.96,0.73,0.9,0.57,0.74,0.92
piccolo2d.csv,0.6,0.8,0.0,0.91,0.59,0.0,0.0,0.97,0.0,0.96,0.57,0.83
sblim.csv,0.88,0.0,0.77,0.5,0.95,0.83,0.0,0.0,0.0,0.5,0.5,0.88
