,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.95,0.2,0.11,0.58,0.1,0.34,0.0,0.41,0.29,0.26,0.43,0.18
bigdata.csv,0.07,0.33,0.31,0.49,0.05,0.43,0.09,0.31,0.75,0.99,0.0,0.58
calcubetimer.csv,0.65,0.55,0.28,0.49,0.61,1.0,0.7,0.74,0.3,0.47,0.73,0.49
jas.csv,0.07,0.06,0.06,0.1,0.02,0.02,0.45,0.0,0.15,0.06,1.0,0.1
jbpm.csv,0.07,0.04,0.4,0.1,0.97,0.35,0.0,0.0,0.29,0.39,0.15,0.26
jgossipforum.csv,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
joustsim.csv,0.07,0.41,0.17,0.1,0.36,0.25,0.81,1.0,0.29,0.43,0.55,0.37
madman.csv,0.35,0.29,0.46,0.1,0.12,0.11,0.24,0.21,1.0,0.1,0.15,0.29
mule.csv,0.07,0.98,0.27,0.7,0.27,0.25,0.24,0.59,0.42,0.5,0.29,0.39
nunit.csv,0.22,0.47,0.11,0.35,0.25,0.49,0.0,0.21,0.14,0.53,0.73,0.93
piccolo2d.csv,0.59,0.04,0.06,0.88,0.57,0.0,0.0,0.11,0.0,0.09,0.54,0.02
sblim.csv,0.0,0.01,1.0,0.0,0.12,0.13,0.0,0.11,0.0,0.01,0.0,0.15
