,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.74,0.78,0.58,0.85,1.0,0.72,0.58,0.79,0.78,0.65,0.91,0.59,0.65,0.36,0.46
atlc.csv,0.73,0.73,0.69,0.72,0.3,0.72,0.76,0.65,0.92,0.8,0.94,0.58,1.08,0.65,0.6
ipfilter.csv,0.93,0.64,0.7,0.94,0.96,0.84,0.8,0.62,1.0,0.68,0.98,0.7,1.01,0.81,0.17
liferea.csv,0.67,0.5,0.62,0.44,0.79,0.94,0.65,0.65,0.89,0.69,0.77,0.59,0.5,0.86,0.59
miranda-icq.csv,0.79,0.69,0.55,1.0,1.0,0.92,0.8,0.91,0.88,0.7,0.96,0.49,1.03,0.64,0.62
opensim4opencog.csv,0.51,0.45,0.53,0.45,0.71,0.9,0.51,0.5,0.86,0.78,0.78,0.57,0.41,0.63,0.65
pclasses.csv,0.27,0.72,0.93,1.0,1.0,1.01,0.91,0.62,1.0,0.94,0.96,1.0,0.77,0.77,1.0
pfaedit.csv,0.92,0.47,0.6,0.85,1.0,0.52,0.29,0.79,0.94,0.6,0.83,1.0,0.61,0.69,1.0
psrchive.csv,0.77,0.69,0.25,0.87,1.0,0.74,0.81,0.71,1.0,0.64,0.74,0.89,0.39,0.7,0.92
theresa.csv,0.87,0.5,0.45,0.58,0.71,0.24,0.44,0.76,1.0,0.63,0.71,0.72,0.49,0.66,0.74
thrust.csv,1.01,0.88,0.94,0.95,0.82,1.0,0.75,0.89,0.46,0.9,0.72,0.85,0.89,0.59,0.74
tktoolkit.csv,0.73,0.88,0.62,0.88,0.59,0.74,0.49,0.74,0.61,0.75,0.44,0.97,1.03,0.65,1.0
tzod.csv,0.92,0.42,0.65,0.49,0.6,0.81,0.6,0.7,0.7,0.7,0.8,0.65,0.71,0.65,0.75
yaprm.csv,0.71,0.64,0.6,0.92,1.0,0.41,0.62,0.68,0.63,0.49,0.68,0.81,0.5,0.54,0.85
