,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.03,0.03,0.02,0.03,0.03,0.01,0.07,0.17,0.02,0.0
coot.csv,0.72,0.52,0.61,0.06,0.66,0.31,0.74,0.77,0.01,0.32
haggle.csv,0.09,0.37,0.46,0.23,0.25,0.09,0.42,0.3,0.18,0.41
ibatisdb.csv,0.06,0.65,0.2,0.4,0.18,0.22,0.06,0.53,0.37,0.43
jas.csv,0.28,0.23,0.24,0.21,0.26,0.44,0.15,0.47,0.67,0.51
mesa3d.csv,0.38,0.35,0.41,0.39,0.67,0.53,0.21,0.87,0.28,0.76
ngl.csv,0.72,0.68,0.83,0.32,0.69,0.32,0.59,0.9,0.19,0.57
pustefix.csv,0.03,0.21,0.44,0.81,0.28,0.43,0.93,0.43,0.62,0.49
scenemonitor.csv,0.25,0.13,0.07,0.0,0.14,0.26,0.18,0.47,0.0,0.14
wsmt.csv,0.53,0.08,0.1,0.02,0.32,0.06,0.47,0.17,0.0,0.11
