,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.75,0.0,0.88,0.6,0.4,0.0,0.0,0.58,0.44,0.0
coot.csv,0.39,0.2,0.68,0.0,0.2,0.66,0.03,0.55,0.0,0.71
haggle.csv,0.62,0.38,0.71,0.0,0.28,0.62,0.04,0.4,0.3,0.42
ibatisdb.csv,0.67,0.26,0.64,0.0,0.6,0.53,0.0,0.33,0.29,0.6
jas.csv,0.25,0.39,0.75,0.13,0.13,0.63,0.29,0.62,0.23,0.47
mesa3d.csv,0.56,0.39,0.72,0.11,0.29,0.62,0.08,0.28,0.33,0.54
ngl.csv,0.42,0.28,0.66,0.09,0.18,0.68,0.08,0.56,0.23,0.62
pustefix.csv,0.67,0.52,0.73,0.06,0.17,0.59,0.04,0.48,0.27,0.59
scenemonitor.csv,0.64,0.43,0.75,0.0,0.21,0.64,0.05,0.36,0.0,0.5
wsmt.csv,0.43,0.38,0.6,0.5,0.08,0.63,0.07,0.84,0.0,0.33
