,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,vars-redux.csv,httpcontentparser.csv,tart.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,xbg.csv,gdis.csv,loki-lib.csv,xqilla.csv,biopax.csv,exl.csv,crux-framework.csv
avifile.csv,0.0,3.0,0.0,101.0,0.0,2.0,0.0,3.0,6.0,93.0,28.0,7.0,1.0,2.0,0.0,4.0,119.0,2.0,1.0,24.0
baadengine.csv,0.0,3.0,0.0,63.0,0.0,11.0,1.0,1.0,4.0,10.0,9.0,6.0,1.0,6.0,0.0,4.0,41.0,0.0,0.0,37.0
biopax.csv,1.0,3.0,0.0,81.0,0.0,4.0,5.0,2.0,6.0,9.0,72.0,8.0,0.0,13.0,0.0,2.0,60.0,0.0,0.0,68.0
crux-framework.csv,0.0,69.0,0.0,26.0,2.0,5.0,0.0,2.0,18.0,6.0,4.0,8.0,0.0,62.0,0.0,4.0,119.0,1.0,1.0,0.0
dataobjectsdotnet.csv,1.0,3.0,0.0,25.0,1.0,7.0,0.0,4.0,6.0,4.0,58.0,7.0,0.0,2.0,0.0,2.0,33.0,0.0,0.0,44.0
exl.csv,0.0,0.0,0.0,58.0,0.0,4.0,3.0,2.0,1.0,2.0,68.0,8.0,0.0,11.0,0.0,2.0,11.0,1.0,0.0,61.0
gdis.csv,0.0,2.0,0.0,101.0,1.0,7.0,5.0,2.0,4.0,21.0,14.0,8.0,2.0,12.0,0.0,6.0,119.0,1.0,0.0,45.0
gogoego.csv,0.0,14.0,0.0,36.0,0.0,14.0,7.0,12.0,26.0,12.0,66.0,15.0,5.0,13.0,0.0,0.0,13.0,0.0,0.0,70.0
httpcontentparser.csv,3.0,21.0,0.0,101.0,3.0,0.0,3.0,4.0,7.0,10.0,62.0,0.0,0.0,0.0,69.0,0.0,50.0,2.0,3.0,37.0
impala.csv,0.0,2.0,0.0,41.0,1.0,10.0,4.0,0.0,6.0,10.0,11.0,1.0,4.0,6.0,0.0,4.0,119.0,1.0,3.0,3.0
jgameai.csv,0.0,1.0,0.0,101.0,2.0,9.0,1.0,4.0,54.0,93.0,205.0,13.0,0.0,62.0,0.0,0.0,119.0,1.0,1.0,111.0
loki-lib.csv,2.0,2.0,0.0,68.0,1.0,10.0,3.0,0.0,6.0,5.0,37.0,5.0,0.0,15.0,0.0,2.0,46.0,1.0,0.0,40.0
snakeyaml.csv,0.0,69.0,0.0,25.0,11.0,4.0,8.0,2.0,1.0,9.0,1.0,11.0,0.0,62.0,0.0,0.0,35.0,0.0,0.0,16.0
tart.csv,1.0,3.0,0.0,18.0,1.0,2.0,0.0,3.0,3.0,0.0,57.0,7.0,0.0,8.0,1.0,3.0,34.0,0.0,2.0,61.0
vars-redux.csv,1.0,3.0,1.0,51.0,15.0,14.0,9.0,0.0,30.0,6.0,8.0,8.0,0.0,3.0,0.0,7.0,37.0,0.0,0.0,45.0
werx.csv,1.0,3.0,0.0,83.0,0.0,11.0,5.0,2.0,6.0,12.0,70.0,7.0,0.0,15.0,0.0,4.0,60.0,2.0,0.0,67.0
xbg.csv,1.0,2.0,0.0,101.0,88.0,9.0,6.0,1.0,4.0,93.0,34.0,5.0,4.0,4.0,0.0,0.0,119.0,0.0,0.0,111.0
xqilla.csv,0.0,69.0,0.0,14.0,1.0,2.0,8.0,2.0,3.0,0.0,16.0,7.0,4.0,8.0,0.0,2.0,1.0,1.0,0.0,41.0
zealos.csv,0.0,1.0,0.0,101.0,3.0,6.0,1.0,2.0,6.0,93.0,11.0,4.0,3.0,0.0,0.0,1.0,119.0,1.0,0.0,44.0
