,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,vars-redux.csv,httpcontentparser.csv,tart.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,xbg.csv,gdis.csv,loki-lib.csv,xqilla.csv,biopax.csv,exl.csv,crux-framework.csv
avifile.csv,0.16,0.2,0.0,0.32,0.29,0.03,0.35,0.48,0.92,0.45,0.55,0.3,0.51,0.04,0.85,0.98,0.21,0.35,0.85,0.39
baadengine.csv,0.16,0.92,0.5,0.78,0.43,1.0,0.81,0.58,0.89,0.97,0.35,0.93,0.61,0.27,1.0,1.0,0.83,0.55,0.77,0.72
biopax.csv,1.0,0.98,1.0,0.98,0.97,0.71,0.98,0.99,0.97,0.92,0.99,0.98,0.95,0.91,0.46,0.41,1.0,0.1,0.85,1.0
crux-framework.csv,0.04,0.11,0.25,0.36,0.29,0.1,0.12,0.15,0.11,0.44,0.11,0.14,0.21,0.05,0.85,0.65,0.17,0.15,0.23,0.13
dataobjectsdotnet.csv,0.79,0.92,1.0,0.36,0.08,0.72,0.44,0.55,0.65,0.67,0.71,0.65,0.35,0.2,0.0,0.7,0.68,0.2,0.85,0.61
exl.csv,0.25,0.63,1.0,0.7,0.81,0.16,0.72,0.46,0.3,0.58,0.68,0.63,0.65,0.62,0.31,0.13,0.44,0.6,0.0,0.83
gdis.csv,0.21,0.4,0.5,0.5,0.29,0.81,0.79,0.4,0.65,0.57,0.14,0.58,0.33,0.42,0.0,0.52,0.32,0.3,0.54,0.69
gogoego.csv,0.23,0.55,1.0,0.49,0.94,0.81,0.3,0.73,0.34,0.52,0.84,0.74,0.28,0.87,0.38,0.07,0.54,0.3,0.08,0.76
httpcontentparser.csv,0.45,0.54,0.5,0.37,0.11,0.0,0.48,0.75,0.26,0.38,0.79,0.46,0.41,0.05,0.0,0.24,0.85,0.3,0.31,0.45
impala.csv,0.15,0.66,0.0,0.51,0.6,0.35,0.67,0.15,0.86,0.74,0.11,0.22,0.5,0.22,0.38,0.46,0.29,0.75,0.62,0.06
jgameai.csv,0.01,0.28,0.0,0.07,0.29,0.78,0.11,0.1,0.33,0.28,0.01,0.08,0.08,0.09,0.62,0.0,0.04,0.1,0.08,0.06
loki-lib.csv,0.35,0.48,1.0,0.8,0.27,0.88,0.72,0.24,0.42,0.62,0.58,0.7,0.75,0.6,0.54,0.35,0.86,0.55,0.15,0.42
snakeyaml.csv,0.5,0.49,0.5,0.35,0.33,0.25,0.25,0.07,0.3,0.45,0.16,0.17,0.29,0.07,0.23,0.07,0.36,0.0,0.08,0.37
tart.csv,0.82,0.88,1.0,0.23,0.14,0.03,0.3,0.52,0.25,0.25,0.72,0.63,0.31,0.31,0.08,0.07,0.73,0.15,0.54,0.65
vars-redux.csv,0.52,0.98,0.75,0.67,0.41,0.99,0.68,0.34,0.65,0.79,0.44,0.68,0.47,0.25,0.62,0.22,0.8,0.0,0.38,0.53
werx.csv,0.99,0.86,0.0,1.0,0.98,1.0,0.94,0.9,0.99,0.98,0.99,0.96,1.0,0.98,1.0,1.0,1.0,1.0,0.69,0.96
xbg.csv,0.54,0.25,0.0,0.13,0.05,0.28,0.17,0.01,0.4,0.06,0.45,0.32,0.16,0.29,0.0,0.04,0.66,0.15,0.23,0.11
xqilla.csv,0.01,0.23,0.5,0.16,0.4,0.03,0.3,0.46,0.05,0.19,0.39,0.14,0.33,0.35,0.31,0.13,0.06,0.4,0.0,0.39
zealos.csv,0.25,0.17,0.25,0.19,0.35,0.32,0.33,0.67,0.24,0.27,0.23,0.1,0.22,0.13,0.15,0.46,0.26,0.4,0.08,0.6
