,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,v8.csv
bochs.csv,0.93,0.74,0.6,0.62,0.74,0.62
encog-java.csv,0.73,0.04,0.03,0.22,0.3,0.02
h2database.csv,0.59,0.72,0.11,0.68,0.24,0.12
jaql.csv,0.86,0.53,0.29,0.64,0.33,0.2
raven-monitoring.csv,0.57,0.45,0.63,0.43,0.07,0.27
v8.csv,0.07,0.47,0.74,0.54,0.83,0.83
