,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,v8.csv
bochs.csv,0.4,0.43,0.43,0.46,0.67,0.52
encog-java.csv,0.59,0.93,0.5,0.96,0.64,0.8
h2database.csv,0.61,0.59,0.88,0.43,0.96,0.96
jaql.csv,0.39,0.53,0.65,0.48,0.53,0.66
raven-monitoring.csv,0.52,0.53,0.56,0.61,0.97,0.82
v8.csv,0.99,0.7,0.43,0.5,0.59,0.49
