,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.53,0.13,0.14,0.82,0.14,0.18,0.85,0.37,0.4,0.89,0.11,0.11,0.12,0.66,0.34,0.58,0.08
arm-webradio.csv,0.32,0.13,0.18,0.5,0.1,0.19,0.72,0.48,0.41,0.85,0.03,0.27,0.16,0.51,0.68,0.44,0.68
codepurge.csv,0.45,0.17,0.07,0.93,0.32,0.24,1.0,0.3,0.5,0.89,0.19,0.21,0.35,0.35,0.71,0.45,0.34
fw4spl.csv,0.25,0.25,0.3,0.81,0.12,0.5,0.88,0.35,0.5,0.93,0.06,0.26,0.17,0.48,0.76,0.46,0.77
glas.csv,0.46,0.21,0.15,0.82,0.13,0.29,0.89,0.39,0.55,0.96,0.11,0.25,0.2,0.57,0.82,0.53,0.41
grisbi.csv,0.35,0.13,0.15,0.83,0.14,0.2,0.96,0.35,0.42,0.93,0.1,0.22,0.16,0.4,0.52,0.5,0.28
gwanted.csv,0.54,0.19,0.2,0.95,0.38,0.33,0.96,0.2,0.41,0.9,0.25,0.27,0.26,0.53,0.63,0.63,0.5
lcfizvtop.csv,0.36,0.17,0.05,0.93,0.2,0.38,0.91,0.24,0.59,0.97,0.06,0.22,0.14,0.36,0.78,0.47,0.65
ldview.csv,0.65,0.14,0.16,0.83,0.18,0.15,0.83,0.38,0.39,0.91,0.1,0.19,0.2,0.42,0.51,0.55,0.27
libmesh.csv,0.29,0.05,0.05,0.76,0.08,0.08,0.62,0.53,0.24,0.87,0.0,0.08,0.0,0.4,0.39,0.48,0.27
mediaportal.csv,1.0,0.14,0.29,1.0,0.4,0.14,1.0,1.0,0.5,1.0,0.0,0.35,0.5,0.6,1.0,0.68,0.57
olex2.csv,0.0,0.17,0.18,1.0,0.29,0.25,1.0,0.25,0.33,1.0,0.18,0.28,0.16,0.58,0.73,0.69,0.3
oppna-program-hsatools.csv,0.44,0.12,0.14,0.97,0.18,0.14,0.95,0.28,0.4,0.93,0.18,0.21,0.05,0.45,0.44,0.66,0.08
qlc.csv,0.55,0.19,0.29,0.93,0.26,0.12,0.93,0.42,0.48,0.83,0.2,0.28,0.17,0.49,0.86,0.61,0.0
somap.csv,0.36,0.13,0.12,0.85,0.14,0.19,0.9,0.35,0.39,1.0,0.06,0.19,0.15,0.37,0.51,0.44,0.27
wxcode.csv,0.71,0.2,0.18,1.0,0.25,0.2,0.97,0.29,0.2,1.0,0.33,0.28,0.4,0.69,0.57,0.77,0.02
xcf.csv,0.42,0.18,0.16,0.81,0.19,0.17,0.87,0.39,0.45,0.98,0.16,0.23,0.16,0.55,0.72,0.53,0.26
