,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.56,0.51,0.62,0.65,0.65,0.65,0.53,0.63,0.56,0.55,0.77,0.63,0.5,0.78,0.7,0.83,0.66
enzo.csv,0.57,0.55,0.58,0.17,0.21,0.68,0.5,0.61,0.78,0.28,0.24,0.68,0.0,0.23,0.46,0.33,0.52
hydrogen.csv,0.0,0.0,0.0,0.04,0.0,0.81,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
keyczar.csv,0.47,0.05,0.15,0.37,0.31,0.0,0.12,0.0,0.17,0.0,0.17,0.0,0.74,0.13,0.3,0.17,0.14
lphant.csv,0.5,0.62,0.55,0.55,0.64,0.76,0.74,0.61,0.5,0.53,0.73,0.41,0.4,0.46,0.76,0.82,0.68
lsb.csv,0.76,0.39,0.42,0.23,0.6,0.39,0.53,0.57,0.65,0.24,0.27,0.21,0.42,0.3,0.61,0.64,0.57
maya-work-in-progress.csv,0.69,0.66,0.68,0.79,0.66,0.73,0.71,0.6,0.59,0.72,0.74,0.54,0.68,0.74,0.71,0.57,0.7
mcore3d.csv,0.09,0.67,0.69,0.62,0.18,0.36,0.35,0.02,0.15,0.6,0.46,0.5,0.42,0.18,0.55,0.83,0.19
mscore.csv,0.33,0.64,0.7,0.74,0.7,0.75,0.65,0.49,0.75,0.64,0.63,0.65,0.48,0.57,0.68,0.75,0.72
natpad.csv,0.61,0.6,0.65,0.23,0.51,0.78,0.77,0.59,0.42,0.64,0.49,0.73,0.47,0.74,0.51,0.78,0.76
rocrail.csv,0.09,0.43,0.4,0.71,0.65,0.71,0.46,0.67,0.3,0.61,0.69,0.62,0.35,0.21,0.54,0.83,0.67
salasaga.csv,0.32,0.6,0.6,0.39,0.42,0.74,0.72,0.47,0.27,0.73,0.58,0.77,0.36,0.78,0.34,0.72,0.69
virtuoso.csv,0.09,0.0,0.17,0.0,0.48,0.33,0.13,0.56,0.0,0.33,0.0,0.0,0.56,0.27,0.32,0.05,0.3
xemeiah.csv,0.73,0.63,0.52,0.39,0.53,0.7,0.76,0.54,0.43,0.62,0.54,0.74,0.62,0.68,0.49,0.78,0.77
xined.csv,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.18,0.0,0.0,0.0,0.0
xtreemfs.csv,0.13,0.64,0.71,0.39,0.63,0.69,0.63,0.68,0.29,0.6,0.55,0.61,0.07,0.83,0.67,0.75,0.71
yield.csv,0.13,0.68,0.76,0.81,0.68,0.77,0.67,0.72,0.74,0.54,0.7,0.68,0.6,0.33,0.67,0.74,0.64
