,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.17,0.36,0.24,0.12,0.3,0.66,0.17,0.0,0.43,0.0,0.93
fceugc.csv,0.64,0.41,0.49,0.68,0.46,0.33,0.57,0.33,0.47,0.37,0.7
flexpay.csv,0.36,0.43,0.51,0.22,0.19,0.51,0.45,0.73,0.22,0.45,0.06
jstock.csv,0.09,0.49,0.39,0.28,0.23,0.3,0.34,0.9,0.15,0.31,0.46
keyczar.csv,0.09,0.2,0.05,0.22,0.23,0.17,0.19,0.17,0.31,0.71,0.25
modellus.csv,0.31,0.59,0.57,0.43,0.53,0.78,0.73,0.36,0.42,0.22,0.12
open-data-kit.csv,0.43,0.67,0.56,0.61,0.49,0.72,0.79,0.76,0.36,0.38,0.68
phet.csv,0.64,0.44,0.19,0.45,0.28,0.3,0.3,0.5,0.37,0.27,0.41
qtractor.csv,0.31,0.78,0.55,0.63,0.58,0.75,0.71,0.43,0.41,0.02,0.31
sumatrapdf.csv,0.44,0.73,0.33,0.59,0.78,0.74,0.44,0.82,0.59,0.58,0.73
synergyspace.csv,0.36,0.42,0.61,0.33,0.73,0.64,0.53,0.49,0.64,0.29,0.06
