,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.98,0.69,0.83,0.83,0.89,0.53,0.93,0.0,0.48,0.0,0.5
fceugc.csv,0.67,0.64,0.58,0.52,0.64,0.8,0.51,0.67,0.77,0.65,0.43
flexpay.csv,0.44,0.69,0.64,0.95,0.86,0.53,0.6,0.38,0.51,0.7,0.89
jstock.csv,0.79,0.45,0.65,0.83,0.86,0.89,0.81,0.63,0.92,0.6,0.55
keyczar.csv,0.97,0.78,0.97,0.67,0.5,0.93,0.82,0.52,0.86,0.45,0.94
modellus.csv,0.52,0.61,0.47,0.85,0.83,0.42,0.39,0.88,0.61,0.77,0.8
open-data-kit.csv,0.47,0.39,0.43,0.44,0.64,0.4,0.46,0.5,0.58,0.65,0.46
phet.csv,0.87,0.58,0.97,0.55,0.46,0.69,0.56,0.44,0.67,0.44,0.56
qtractor.csv,0.43,0.5,0.5,0.54,0.63,0.4,0.42,0.75,0.47,0.0,0.62
sumatrapdf.csv,0.4,0.43,0.4,0.4,0.61,0.44,0.39,0.42,0.58,0.47,0.4
synergyspace.csv,0.55,0.85,0.45,0.93,0.47,0.48,0.55,0.55,0.71,0.94,0.83
