,swtfox.csv,mediate.csv,e-bio-flow.csv,jaxlib.csv,chaperon.csv,azureus.csv,jppf-project.csv,exist.csv,matrex.csv,pokenetonline.csv,freedom-erp.csv,octet.csv,geotools.csv,reaper3d.csv,bigdata.csv,simplewebservices.csv,nunit.csv,stajistics.csv
azureus.csv,0.38,0.65,0.44,0.09,0.17,0.98,0.95,0.72,0.76,0.77,0.69,0.1,0.31,0.0,0.89,0.51,0.36,0.27
bigdata.csv,0.34,0.65,0.43,0.05,0.12,0.28,0.92,0.67,0.61,0.76,0.58,0.16,0.36,0.08,1.0,0.42,0.33,0.36
chaperon.csv,0.38,0.52,0.14,0.0,1.0,0.27,0.88,0.6,0.0,0.75,0.0,0.1,0.21,0.08,0.89,0.42,0.29,0.29
e-bio-flow.csv,0.37,0.5,1.0,0.08,0.0,0.16,0.94,0.41,0.33,0.91,0.65,0.27,0.34,0.03,0.9,0.43,0.21,0.38
exist.csv,0.29,0.57,0.42,0.04,0.0,0.39,0.95,0.98,0.71,0.86,0.64,0.0,0.35,0.14,0.95,0.6,0.44,0.64
freedom-erp.csv,0.17,1.0,0.86,0.0,0.5,0.46,1.0,0.75,1.0,1.0,0.98,0.0,0.22,0.0,1.0,0.0,0.5,1.0
geotools.csv,0.33,0.53,0.5,0.0,0.1,0.35,0.87,0.66,0.58,0.78,0.79,0.67,1.0,0.21,0.92,0.39,0.29,0.29
jaxlib.csv,0.67,0.78,0.0,1.0,0.0,0.14,0.0,0.4,0.0,1.0,0.5,0.0,0.41,0.0,0.85,0.5,0.29,0.67
jppf-project.csv,0.35,0.57,0.36,0.04,0.09,0.27,1.0,0.56,0.49,0.71,0.59,0.14,0.35,0.07,0.9,0.41,0.19,0.35
matrex.csv,0.35,0.66,0.36,0.05,0.33,0.33,1.0,0.76,0.99,0.89,0.72,0.4,0.36,0.1,0.88,0.35,0.24,0.2
mediate.csv,0.3,1.0,0.35,0.09,0.12,0.3,0.98,0.73,0.59,0.76,0.57,0.21,0.31,0.11,0.88,0.47,0.28,0.35
nunit.csv,0.4,0.59,0.47,0.03,0.0,0.31,0.94,0.57,0.72,0.7,0.68,0.5,0.24,0.22,0.91,0.41,1.0,0.44
octet.csv,0.45,0.59,0.44,0.02,0.0,0.33,0.93,0.63,0.64,0.81,0.63,1.0,0.38,0.14,0.87,0.42,0.42,0.68
pokenetonline.csv,0.42,0.61,0.44,0.05,0.05,0.29,0.93,0.67,0.54,0.98,0.59,0.43,0.4,0.08,0.88,0.49,0.29,0.44
reaper3d.csv,0.83,0.53,0.33,0.08,0.12,0.2,0.81,0.52,0.4,0.66,0.4,0.14,0.22,1.0,0.89,0.0,0.22,0.26
simplewebservices.csv,0.3,0.56,0.45,0.0,0.11,0.22,0.91,0.65,0.59,0.73,0.59,0.17,0.29,0.07,0.91,0.99,0.26,0.42
stajistics.csv,0.44,0.64,0.53,0.08,0.06,0.26,0.85,0.58,0.43,0.67,0.68,0.0,0.29,0.1,0.86,0.47,0.21,0.94
swtfox.csv,0.98,0.47,0.31,0.05,0.08,0.16,0.89,0.51,0.45,0.73,0.26,0.1,0.25,0.07,0.87,0.42,0.13,0.29
