,swtfox.csv,mediate.csv,e-bio-flow.csv,jaxlib.csv,chaperon.csv,azureus.csv,jppf-project.csv,exist.csv,matrex.csv,pokenetonline.csv,freedom-erp.csv,octet.csv,geotools.csv,reaper3d.csv,bigdata.csv,simplewebservices.csv,nunit.csv,stajistics.csv
azureus.csv,0.3,0.48,0.53,0.17,0.27,0.95,0.79,0.47,0.29,0.61,0.73,0.16,0.39,0.0,0.45,0.32,0.38,0.23
bigdata.csv,0.47,0.39,0.35,0.09,0.17,0.42,0.89,0.59,0.63,0.55,0.73,0.23,0.41,0.14,1.0,0.59,0.43,0.31
chaperon.csv,0.28,0.41,0.09,0.0,1.0,0.27,0.48,0.47,0.0,0.18,0.0,0.12,0.14,0.12,0.34,0.21,0.3,0.18
e-bio-flow.csv,0.39,0.17,1.0,0.14,0.0,0.14,0.29,0.2,0.3,0.28,0.69,0.33,0.37,0.05,0.44,0.4,0.27,0.31
exist.csv,0.22,0.59,0.44,0.07,0.0,0.48,0.32,0.97,0.52,0.44,0.71,0.0,0.31,0.24,0.58,0.54,0.51,0.41
freedom-erp.csv,0.04,0.1,0.32,0.0,0.33,0.37,0.2,0.05,0.03,0.03,0.98,0.0,0.04,0.0,0.14,0.0,0.05,0.06
geotools.csv,0.33,0.49,0.44,0.0,0.14,0.29,0.35,0.55,0.44,0.36,0.31,0.4,0.96,0.32,0.45,0.22,0.31,0.18
jaxlib.csv,0.09,0.29,0.0,1.0,0.0,0.03,0.0,0.03,0.0,0.26,0.02,0.0,0.21,0.0,0.08,0.17,0.09,0.31
jppf-project.csv,0.49,0.72,0.52,0.08,0.16,0.43,1.0,0.61,0.63,0.83,0.72,0.24,0.5,0.12,0.82,0.59,0.3,0.46
matrex.csv,0.23,0.62,0.33,0.09,0.29,0.42,0.4,0.28,0.98,0.41,0.79,0.33,0.3,0.14,0.38,0.37,0.25,0.1
mediate.csv,0.31,0.97,0.45,0.17,0.2,0.42,0.66,0.66,0.67,0.69,0.52,0.31,0.38,0.19,0.71,0.48,0.4,0.48
nunit.csv,0.34,0.5,0.34,0.06,0.0,0.34,0.51,0.48,0.29,0.49,0.48,0.36,0.3,0.24,0.31,0.19,0.97,0.3
octet.csv,0.52,0.71,0.51,0.04,0.0,0.48,0.7,0.72,0.47,0.42,0.76,0.92,0.44,0.23,0.86,0.59,0.45,0.62
pokenetonline.csv,0.39,0.45,0.54,0.09,0.09,0.44,0.7,0.64,0.57,0.99,0.71,0.43,0.48,0.15,0.81,0.43,0.4,0.56
reaper3d.csv,0.22,0.56,0.11,0.14,0.19,0.25,0.24,0.5,0.37,0.51,0.07,0.19,0.29,0.86,0.33,0.0,0.26,0.39
simplewebservices.csv,0.33,0.62,0.55,0.0,0.17,0.3,0.79,0.62,0.61,0.74,0.73,0.24,0.37,0.12,0.72,0.97,0.35,0.49
stajistics.csv,0.46,0.58,0.56,0.15,0.09,0.31,0.57,0.59,0.25,0.61,0.39,0.0,0.38,0.17,0.67,0.3,0.29,0.95
swtfox.csv,0.98,0.29,0.38,0.09,0.14,0.21,0.68,0.58,0.54,0.52,0.11,0.18,0.37,0.13,0.74,0.52,0.19,0.43
