,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.48,0.27,0.7,0.54,0.36,0.54,0.0,1.0,0.65,0.13,0.52,0.56,0.32,0.44
crisscross.csv,0.2,0.18,0.96,0.21,0.0,0.12,0.0,0.11,0.33,0.14,0.25,0.23,0.17,0.27
gisgraphy.csv,0.43,0.49,0.6,0.48,0.68,0.13,0.95,0.24,0.2,0.5,0.06,0.41,0.19,1.0
glelite.csv,0.24,0.0,0.0,0.24,0.21,0.21,0.27,0.0,0.0,0.0,1.0,0.0,0.38,0.0
gnome-jabber.csv,0.41,0.74,0.44,0.24,0.43,0.05,0.51,0.13,0.5,0.88,0.0,0.55,0.39,0.23
ivataopenportal.csv,0.5,0.54,0.32,0.55,0.24,0.97,0.81,0.6,0.6,0.4,0.66,0.45,0.44,0.72
mb-unit.csv,0.59,0.18,0.61,0.99,0.79,0.63,0.0,0.51,0.71,0.43,0.0,0.59,0.42,0.32
mvdsv.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
nova.csv,0.39,0.93,0.42,0.47,0.0,0.32,0.0,0.3,0.48,0.27,0.25,0.55,0.39,0.53
olex2.csv,0.41,0.43,0.48,0.44,0.69,0.39,0.0,0.24,0.6,0.26,0.42,0.96,0.23,0.58
openwbem.csv,0.96,0.5,0.63,0.36,0.6,0.49,0.0,0.24,0.67,0.56,0.42,0.44,0.32,0.17
tencompetence.csv,0.44,0.18,0.35,0.41,0.0,0.51,0.94,0.56,0.46,0.1,0.57,0.2,0.99,0.3
xcmetadataservicestoolkit.csv,0.65,0.39,0.7,0.6,0.57,0.62,0.0,0.53,1.0,0.6,0.0,0.45,0.58,0.42
