,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.61,0.78,0.52,0.63,0.8,0.66,1.15,0.0,0.6,0.89,0.78,0.69,0.77,0.71
crisscross.csv,0.83,0.85,0.05,0.84,1.0,0.9,1.01,0.92,0.73,0.9,0.79,0.83,0.86,0.83
gisgraphy.csv,0.77,0.83,0.74,0.78,0.44,0.9,0.2,0.85,1.02,0.75,0.95,0.84,0.99,0.0
glelite.csv,0.94,1.0,1.0,0.94,0.95,0.95,0.93,1.0,1.0,1.0,0.0,1.0,0.89,1.0
gnome-jabber.csv,0.88,0.54,0.86,0.94,0.87,0.99,0.83,0.97,0.82,0.4,1.01,0.79,0.89,0.95
ivataopenportal.csv,0.7,0.78,0.81,0.73,0.94,0.04,0.54,0.59,0.68,0.67,0.48,0.82,0.82,0.55
mb-unit.csv,0.74,0.85,0.65,0.05,0.57,0.65,1.22,0.82,0.52,0.72,1.05,0.55,0.73,1.01
mvdsv.csv,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0
nova.csv,0.68,0.08,0.65,0.61,1.02,0.82,1.09,0.76,0.84,0.8,0.79,0.56,0.75,0.59
olex2.csv,0.66,0.62,0.59,0.65,0.39,0.67,1.09,0.81,0.71,0.81,0.63,0.05,0.85,0.69
openwbem.csv,0.05,0.58,0.52,0.9,0.66,0.83,1.08,0.94,0.59,0.71,0.63,0.75,0.92,0.96
tencompetence.csv,0.87,0.85,0.88,0.7,1.0,0.82,0.24,0.65,0.72,0.92,0.56,0.84,0.01,0.86
xcmetadataservicestoolkit.csv,0.62,0.92,0.57,0.6,0.79,0.67,1.14,0.8,0.0,0.57,1.0,0.87,0.64,0.91
