,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.47,0.29,0.39,0.66,0.11,0.55,0.0,1.0,0.75,0.2,0.74,0.53,0.39,0.36
crisscross.csv,0.27,0.22,0.98,0.29,0.0,0.17,0.0,0.15,0.42,0.21,0.34,0.27,0.24,0.24
gisgraphy.csv,0.35,0.32,0.31,0.64,0.29,0.18,0.14,0.32,0.25,0.69,0.09,0.39,0.24,1.0
glelite.csv,0.53,0.37,0.3,0.91,0.17,0.68,0.04,0.88,0.84,0.97,1.0,0.63,0.79,0.48
gnome-jabber.csv,0.48,0.47,0.31,0.91,0.18,0.67,0.04,0.87,0.76,0.99,0.93,0.61,0.75,0.42
ivataopenportal.csv,0.42,0.36,0.18,0.72,0.17,0.98,0.06,0.71,0.71,0.52,0.79,0.42,0.51,0.55
mb-unit.csv,0.53,0.24,0.31,0.99,0.25,0.64,0.0,0.87,0.79,0.56,0.81,0.58,0.48,0.27
mvdsv.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
nova.csv,0.41,0.96,0.32,0.59,0.0,0.34,0.0,0.39,0.73,0.37,0.34,0.56,0.46,0.46
olex2.csv,0.43,0.45,0.4,0.56,0.35,0.47,0.0,0.32,0.75,0.35,0.54,0.97,0.29,0.44
openwbem.csv,0.97,0.41,0.38,0.85,0.17,0.61,0.0,0.83,0.77,0.75,0.54,0.42,0.76,0.49
tencompetence.csv,0.36,0.27,0.16,0.52,0.0,0.57,0.12,0.67,0.55,0.14,0.7,0.27,0.99,0.24
xcmetadataservicestoolkit.csv,0.54,0.23,0.37,0.73,0.19,0.63,0.0,0.83,1.0,0.74,0.94,0.47,0.64,0.33
