,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.78,0.67,0.17,0.43,0.63,0.76,0.65,0.92,0.79,0.55,0.89,0.9
dsworkbench.csv,0.3,0.87,0.93,0.89,0.72,0.88,0.62,1.0,0.56,0.96,1.0,0.54
gogoego.csv,0.74,0.59,0.55,0.6,0.9,0.53,0.65,0.78,0.71,0.47,0.57,0.37
jpaul.csv,0.54,0.57,1.0,0.3,0.9,1.0,1.0,1.0,0.92,1.0,1.0,1.0
loki-lib.csv,0.86,0.75,0.71,0.64,0.66,0.68,0.52,0.74,0.58,0.54,0.43,0.46
motu.csv,0.59,0.98,0.86,0.72,0.9,0.59,0.48,0.87,0.9,0.55,0.55,0.63
mp-rechnungs-und-kundenverwaltung.csv,0.86,0.69,0.78,0.76,0.93,0.75,0.77,0.86,0.65,0.75,0.79,0.75
rtrt-on-gpu.csv,0.67,0.75,0.89,0.71,0.74,0.73,0.63,0.33,0.76,0.92,0.73,0.69
scenemonitor.csv,0.75,0.69,0.84,0.69,0.37,0.83,0.74,0.95,0.75,0.64,1.0,0.91
xstore.csv,0.53,0.92,0.6,0.51,0.47,0.77,0.89,0.9,0.69,0.42,0.47,1.01
yarp0.csv,0.69,0.7,0.89,0.95,0.69,0.39,0.82,0.86,0.75,0.66,0.84,0.53
zemljanka.csv,1.0,0.96,1.0,1.0,0.97,0.75,0.81,0.81,0.98,0.98,0.69,0.19
