,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.56,0.57,0.86,0.77,0.71,0.57,0.64,0.3,0.55,0.66,0.4,0.38
dsworkbench.csv,0.77,0.16,0.09,0.15,0.34,0.15,0.49,0.0,0.6,0.05,0.0,0.66
gogoego.csv,0.34,0.51,0.56,0.46,0.12,0.62,0.73,0.34,0.62,0.62,0.5,0.71
jpaul.csv,0.55,0.58,0.0,0.81,0.12,0.0,0.0,0.0,0.11,0.0,0.0,0.0
loki-lib.csv,0.46,0.58,0.34,0.69,0.51,0.54,0.75,0.42,0.64,0.57,0.67,0.68
motu.csv,0.47,0.09,0.45,0.63,0.42,0.53,0.64,0.23,0.36,0.59,0.64,0.43
mp-rechnungs-und-kundenverwaltung.csv,0.17,0.47,0.34,0.59,0.12,0.29,0.27,0.23,0.48,0.3,0.25,0.29
rtrt-on-gpu.csv,0.47,0.54,0.43,0.51,0.39,0.35,0.49,0.73,0.54,0.25,0.41,0.64
scenemonitor.csv,0.52,0.43,0.19,0.39,0.71,0.34,0.61,0.12,0.32,0.43,0.0,0.11
xstore.csv,0.62,0.3,0.51,0.68,0.62,0.51,0.38,0.23,0.62,0.7,0.68,0.0
yarp0.csv,0.56,0.43,0.4,0.07,0.51,0.7,0.34,0.45,0.58,0.43,0.47,0.53
zemljanka.csv,0.0,0.17,0.0,0.0,0.13,0.6,0.53,0.54,0.09,0.09,0.49,0.84
