,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,0.75,0.72,0.59,0.67,0.63,0.65,0.69,0.78,0.0,0.54,0.69,0.52,0.64,0.58,0.75,0.68,0.77,0.55
bscwweasel.csv,0.99,1.0,0.79,0.97,0.1,0.81,1.0,0.97,1.0,0.92,0.96,1.0,0.87,0.94,1.0,0.83,0.98,0.95
capcode.csv,0.86,1.0,1.0,0.91,0.86,0.95,0.17,0.88,0.85,0.85,0.81,0.44,0.74,0.92,0.94,0.76,0.96,0.92
dspace-gsoc.csv,0.71,0.51,0.71,0.54,0.72,0.66,0.75,0.7,0.88,0.58,0.0,0.88,0.85,0.8,0.87,0.62,0.78,0.5
emite.csv,0.74,0.67,0.84,0.67,0.6,0.71,0.85,0.77,0.64,0.6,0.82,0.52,0.64,0.72,0.07,0.66,0.68,0.67
fbmanager.csv,0.69,0.8,0.67,0.04,0.86,0.51,0.74,0.67,0.84,0.81,0.67,0.71,0.65,0.66,0.97,0.56,0.74,0.79
freenet.csv,0.63,0.86,0.68,0.67,0.91,0.71,0.77,0.05,0.85,0.76,0.81,0.82,0.54,0.82,0.89,0.58,0.89,0.65
geogebra.csv,0.96,0.94,0.46,0.92,0.75,0.81,0.85,0.79,0.89,0.68,0.67,0.77,0.59,0.78,0.87,0.05,0.85,0.61
megameknet.csv,0.8,0.9,0.78,0.78,0.68,0.59,0.79,0.81,0.78,0.74,0.75,0.57,0.06,0.85,0.87,0.62,0.77,0.64
ondex.csv,0.87,0.95,0.66,0.88,0.75,0.75,0.62,0.57,0.96,0.64,0.92,0.5,0.63,0.06,0.82,0.7,0.93,0.71
onotoa.csv,0.53,1.03,0.67,0.69,0.84,0.89,0.77,0.73,0.86,0.0,0.84,1.0,0.95,0.72,0.87,0.84,0.87,0.86
paintown.csv,0.03,0.66,0.55,0.44,0.63,0.5,0.66,0.57,0.76,0.82,0.69,0.52,0.57,0.62,0.63,0.58,0.66,0.56
powerfolder.csv,1.0,1.0,0.97,1.0,0.9,1.0,1.0,0.99,1.0,1.0,0.97,0.0,0.97,0.97,1.0,1.0,1.0,1.0
retromenu.csv,0.88,0.83,0.78,0.94,0.86,0.0,0.78,0.65,0.94,0.87,0.97,0.23,0.63,0.83,0.94,0.63,0.9,0.73
smbopensoft.csv,0.54,0.06,0.42,0.65,0.76,0.63,0.72,0.68,0.92,0.84,0.45,0.44,0.56,0.65,0.78,0.55,0.85,0.59
triplea.csv,0.64,0.84,0.0,0.59,0.83,0.64,0.85,0.77,0.53,0.75,0.73,0.62,0.45,0.76,0.77,0.57,0.9,0.77
tweetsharp.csv,0.76,0.9,0.82,0.54,0.64,0.78,0.81,0.84,0.84,0.96,0.94,0.88,0.79,0.9,0.69,0.83,0.02,0.73
xamj.csv,0.71,0.61,0.67,0.5,0.72,0.71,0.85,0.89,0.64,0.77,0.62,0.64,0.82,0.68,0.62,0.59,0.85,0.03
