,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,xcmetadataservicestoolkit.csv,arm-webradio.csv,gisgraphy.csv
arm-webradio.csv,0.35,0.05,0.36,0.19,0.27,0.19,0.14,0.35,0.33,0.01,0.4
crisscross.csv,0.23,0.48,0.0,0.12,0.03,0.06,0.23,0.03,0.07,0.85,0.23
cubefs.csv,0.36,0.66,0.76,0.46,0.87,0.3,0.57,0.03,0.53,0.3,0.25
gisgraphy.csv,0.11,0.34,0.64,0.26,0.19,0.03,0.59,0.41,0.67,0.09,0.0
iaml.csv,0.41,0.2,0.82,0.3,0.4,0.37,0.01,0.21,0.53,0.8,0.42
ivataopenportal.csv,0.56,0.73,0.27,0.55,0.43,0.0,0.49,0.79,0.2,0.97,0.65
mb-unit.csv,0.83,0.07,0.61,0.05,0.67,0.72,0.5,0.62,0.47,0.59,0.79
mvdsv.csv,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
nova.csv,0.34,0.0,0.45,0.65,0.25,0.6,0.37,0.79,0.53,0.48,0.5
openwbem.csv,0.0,1.0,0.68,0.92,0.9,0.71,0.64,0.68,0.53,0.91,0.69
xcmetadataservicestoolkit.csv,0.41,0.3,0.47,0.41,0.65,0.38,0.41,0.18,0.0,0.1,0.46
