,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,esmf.csv,mule.csv,jsecurity.csv,delphilhlplib.csv,piccolo2d.csv,libopenmetaverse.csv,gbif-indexingtoolkit.csv,mptvseries.csv,vars-redux.csv
avifile.csv,0.96,0.01,0.0,0.49,0.59,0.54,0.44,0.43,0.27,0.52,0.4,0.42,0.4
delphilhlplib.csv,0.0,0.0,0.95,0.45,0.38,0.49,0.36,0.82,0.73,0.42,0.45,0.57,0.68
esmf.csv,0.57,0.0,0.0,0.65,0.59,0.27,0.49,0.58,0.75,0.53,0.62,0.62,0.23
gbif-indexingtoolkit.csv,0.56,0.61,0.6,0.13,0.54,0.57,0.53,0.27,0.42,0.5,0.65,0.7,0.38
jgameai.csv,0.77,0.07,0.0,0.63,0.47,0.12,0.06,0.0,0.0,0.28,0.21,0.59,0.17
jsecurity.csv,0.44,0.09,0.0,0.1,0.52,0.27,0.74,0.49,0.55,0.61,0.48,0.47,0.15
libopenmetaverse.csv,0.0,0.0,0.09,0.0,0.57,0.0,0.0,0.0,0.09,0.65,0.09,0.63,0.0
mptvseries.csv,0.43,0.21,0.93,0.15,0.34,0.45,0.36,0.0,0.65,0.46,0.4,0.74,0.55
mule.csv,0.58,0.12,0.97,0.1,0.41,0.68,0.12,0.46,0.55,0.5,0.38,0.19,0.47
piccolo2d.csv,0.23,0.06,0.91,0.27,0.25,0.35,0.21,0.58,0.86,0.37,0.39,0.25,0.63
vars-redux.csv,0.34,0.19,0.8,0.18,0.59,0.54,0.69,0.0,0.7,0.62,0.74,0.7,0.75
werx.csv,0.47,0.98,0.0,0.0,0.0,0.32,0.09,0.37,0.0,0.13,0.48,0.13,0.34
