,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,esmf.csv,mule.csv,jsecurity.csv,delphilhlplib.csv,piccolo2d.csv,libopenmetaverse.csv,gbif-indexingtoolkit.csv,mptvseries.csv,vars-redux.csv
avifile.csv,0.94,0.5,0.87,0.8,0.62,0.62,0.73,0.53,0.86,0.42,0.88,0.5,0.66
delphilhlplib.csv,0.65,0.51,0.86,0.62,0.96,0.54,0.72,0.38,0.44,0.5,0.42,0.57,0.4
esmf.csv,0.45,0.36,0.6,0.72,0.67,0.86,0.61,0.57,0.47,0.45,0.6,0.52,0.39
gbif-indexingtoolkit.csv,0.42,0.37,0.43,0.49,0.64,0.47,0.51,0.75,0.45,0.49,0.74,0.52,0.69
jgameai.csv,0.85,0.92,0.95,0.72,0.74,0.97,0.95,0.0,0.83,0.96,0.93,0.53,0.94
jsecurity.csv,0.59,0.92,0.61,0.91,0.44,0.8,0.46,0.58,0.47,0.45,0.48,0.38,0.91
libopenmetaverse.csv,0.36,0.35,0.42,0.48,0.4,0.38,0.46,0.39,0.37,0.48,0.37,0.41,0.35
mptvseries.csv,0.5,0.74,0.68,0.89,0.66,0.48,0.86,0.0,0.67,0.57,0.64,0.5,0.56
mule.csv,0.43,0.95,0.93,0.67,0.93,0.41,0.94,0.5,0.5,0.5,0.38,0.69,0.54
piccolo2d.csv,0.55,0.9,0.55,0.46,0.95,0.62,0.96,0.44,0.45,0.48,0.42,0.88,0.39
vars-redux.csv,0.36,0.76,0.49,0.55,0.42,0.38,0.48,0.4,0.42,0.45,0.38,0.39,0.47
werx.csv,0.42,0.37,0.41,0.48,0.42,0.42,0.46,0.38,0.36,0.38,0.44,0.35,0.38
