,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.77,0.61,0.79,0.63,0.53,0.89,0.82,0.83,0.45,0.81,0.92,0.48,0.51,0.68,0.42,0.75,0.55
arm-webradio.csv,0.75,0.9,0.82,0.67,0.38,0.7,0.75,0.5,0.62,0.7,0.88,0.81,0.8,0.52,0.58,0.63,0.69
bwapi.csv,0.41,0.51,0.41,0.47,0.41,0.42,0.38,0.59,0.59,0.55,0.54,0.39,0.34,0.46,0.43,0.56,0.45
co-ode-owl-plugins.csv,0.58,0.62,0.88,0.98,0.38,0.97,0.0,0.93,0.56,0.56,0.93,0.73,0.62,0.56,0.6,0.48,0.63
firebreath.csv,0.56,0.61,0.49,0.57,0.4,0.6,0.53,0.54,0.5,0.59,0.61,0.44,0.48,0.52,0.61,0.68,0.56
frogatto.csv,0.58,0.48,0.44,0.67,0.41,0.61,0.38,0.54,0.53,0.69,0.56,0.47,0.5,0.46,0.46,0.51,0.57
gretl.csv,0.46,0.49,0.42,0.57,0.38,0.44,0.4,0.43,0.35,0.44,0.45,0.44,0.53,0.51,0.38,0.49,0.4
jasperreports.csv,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0
konversation.csv,0.5,0.94,0.91,0.93,0.9,0.5,0.8,0.67,0.75,0.8,0.75,0.98,0.96,0.95,0.93,0.86,0.68
linuxsh.csv,0.73,0.92,0.75,0.91,0.45,0.72,0.5,0.92,0.42,0.59,0.75,0.82,0.95,0.82,0.49,0.59,0.71
moviesandbox.csv,0.67,0.86,0.71,0.97,0.47,0.81,0.8,0.8,0.79,0.63,0.67,0.8,0.97,0.88,0.73,0.75,0.89
ontomorphtab.csv,0.43,0.44,0.41,0.46,0.42,0.65,0.35,0.36,0.39,0.43,0.38,0.4,0.4,0.43,0.39,0.49,0.55
opengs.csv,0.9,0.83,0.5,0.97,0.8,0.93,0.83,0.95,0.63,0.76,0.5,0.51,0.62,0.74,0.8,0.5,0.41
scite-ru.csv,0.47,0.69,0.46,0.54,0.38,0.49,0.76,0.53,0.44,0.41,0.38,0.55,0.65,0.56,0.43,0.59,0.51
tokratan.csv,0.67,0.8,0.8,0.96,0.79,0.75,0.75,0.67,0.0,0.92,0.8,0.95,0.86,0.91,0.9,0.95,0.9
vrjuggler.csv,0.52,0.5,0.6,0.78,0.5,0.8,0.74,0.46,0.74,0.76,0.94,0.97,0.94,0.99,0.56,0.86,0.86
xuggle.csv,0.6,0.5,0.92,0.98,0.88,0.59,0.71,0.48,0.45,0.5,0.9,0.63,0.48,0.57,0.83,0.63,0.79
