,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.37,0.24,0.26,0.22,0.61,0.25,0.26,0.1,0.59,0.19,0.07,0.64,0.98,0.11,0.66,0.4,0.53
arm-webradio.csv,0.47,0.57,0.55,0.3,0.7,0.45,0.24,0.2,0.43,0.27,0.0,0.46,0.31,0.21,0.55,0.42,0.99
bwapi.csv,0.7,0.23,0.26,0.29,0.69,0.53,0.41,0.13,0.49,0.25,0.25,0.82,0.68,0.25,0.62,0.99,0.49
co-ode-owl-plugins.csv,0.48,0.32,0.28,0.15,0.73,0.2,0.0,0.91,0.52,0.16,0.13,0.38,0.53,0.07,0.56,0.84,0.64
firebreath.csv,0.62,0.31,0.29,0.24,0.78,0.97,0.42,0.3,0.39,0.23,0.37,0.87,0.75,0.11,0.57,0.69,0.46
frogatto.csv,0.47,0.25,0.31,0.34,0.67,0.45,0.47,0.18,0.5,0.21,0.27,0.87,0.72,0.23,0.99,0.35,0.41
gretl.csv,0.73,0.25,0.26,0.21,0.69,0.54,0.47,0.29,0.55,0.2,0.37,1.0,0.56,0.26,0.67,0.7,0.44
jasperreports.csv,0.1,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.94,0.0,0.02,0.0
konversation.csv,0.11,0.21,0.96,0.2,0.33,0.06,0.15,0.1,0.14,0.0,0.0,0.43,0.41,0.39,0.32,0.11,0.61
linuxsh.csv,0.39,0.87,0.43,0.36,0.68,0.46,0.0,0.19,0.62,0.17,0.1,0.33,0.18,0.08,0.66,0.49,0.64
moviesandbox.csv,0.47,0.33,0.48,0.21,0.93,0.41,0.15,0.09,0.46,0.26,0.11,0.53,0.29,0.32,0.47,0.41,0.38
ontomorphtab.csv,1.0,0.3,0.23,0.25,0.71,0.43,0.46,0.25,0.6,0.2,0.35,0.85,0.72,0.12,0.68,0.64,0.38
opengs.csv,0.22,0.0,0.0,0.24,0.16,0.19,0.0,0.16,0.98,0.07,0.11,0.51,0.43,0.18,0.24,0.03,0.48
scite-ru.csv,0.73,0.33,0.23,0.19,0.7,0.5,0.84,0.35,0.62,0.2,0.34,0.49,0.37,0.09,0.64,0.53,0.56
tokratan.csv,0.16,0.0,0.44,0.33,0.31,0.06,0.08,0.0,0.04,0.89,0.0,0.22,0.22,0.06,0.22,0.29,0.0
vrjuggler.csv,0.71,0.0,0.27,0.16,0.57,0.38,0.33,0.31,0.34,0.29,0.94,0.3,0.26,0.1,0.58,0.26,0.29
xuggle.csv,0.59,0.37,0.08,0.92,0.23,0.48,0.23,0.29,0.61,0.15,0.15,0.59,0.63,0.07,0.25,0.21,0.08
