,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.34,0.12,0.03,0.65,0.3,0.55,1.0,1.0,0.0,1.0,0.83,0.8,0.02,0.38
crux-framework.csv,0.28,0.23,0.15,0.48,0.2,0.22,0.48,0.68,0.27,0.38,0.79,0.65,0.21,0.29
etherboot.csv,0.5,0.42,0.0,0.5,0.4,0.47,0.0,0.93,0.41,0.2,0.9,0.0,0.02,0.47
freebios.csv,0.22,0.14,0.03,0.52,0.24,0.24,0.78,0.57,0.37,0.16,0.68,0.41,0.04,0.58
gebr.csv,0.3,0.15,0.02,0.63,0.28,0.34,0.42,0.9,0.31,0.19,0.81,0.67,0.03,0.48
gnukeda.csv,0.33,0.19,0.02,0.78,0.31,0.35,0.4,0.88,0.37,0.16,0.77,0.74,0.03,0.44
google-gears.csv,0.42,0.14,0.05,0.78,0.29,0.32,0.46,0.72,0.28,0.22,0.87,0.64,0.05,0.47
gstreamer.csv,0.35,0.12,0.02,0.64,0.27,0.34,0.39,0.86,0.28,0.2,0.78,0.77,0.03,0.47
jnode.csv,0.4,0.16,0.16,0.56,0.11,0.0,0.65,0.62,0.14,0.33,0.61,0.29,0.0,0.33
metacosm.csv,0.48,0.15,0.05,0.7,0.15,0.52,0.4,0.93,0.37,0.22,0.88,0.82,0.04,0.74
openmeetings.csv,0.49,0.46,0.06,0.67,0.3,0.45,0.5,0.93,0.33,0.29,0.81,0.71,0.07,0.57
pgui.csv,0.28,0.22,0.0,0.65,0.33,0.29,0.4,0.82,0.46,0.19,0.85,0.0,0.03,0.47
tradelink.csv,0.35,0.13,0.04,0.55,0.24,0.33,0.52,0.88,0.3,0.33,0.77,0.59,0.03,0.48
wxcrp.csv,0.47,0.14,0.04,0.53,0.27,0.36,0.43,0.75,0.28,0.3,0.77,0.63,0.02,0.45
