,campsoft.csv,jahshaka.csv,jmoney.csv,sblim.csv,swtfox.csv,calcubetimer.csv,freedom-erp.csv,elynx.csv,tart.csv,reaper3d.csv
calcubetimer.csv,0.79,0.65,0.49,0.61,0.92,0.0,0.9,0.81,0.9,0.55
freedom-erp.csv,0.0,0.04,0.05,0.04,0.15,0.0,0.03,0.03,0.02,0.0
jahshaka.csv,0.14,0.0,0.02,0.39,0.69,0.0,0.06,0.14,0.24,0.64
jmoney.csv,0.25,0.1,0.0,0.1,0.51,0.0,0.21,0.1,0.04,0.12
reaper3d.csv,0.24,0.0,0.54,0.37,0.02,0.25,0.5,0.02,0.0,0.01
sblim.csv,0.14,0.02,0.32,0.01,0.09,0.0,0.1,0.07,0.11,0.01
swtfox.csv,0.57,0.35,0.56,0.61,0.02,0.25,0.34,0.81,0.67,0.48
tart.csv,0.23,0.02,0.29,0.1,0.03,0.25,0.24,0.02,0.0,0.16
